"sid","pid","PNUM","uid","TASK","DATASET","timestamp","ixn","code_topic","code_detail","code_datatype","flag_simultaneous","reps_group","reps_all","time","task_start","task_end","task_mins","task_second","relative_time_s","relative_time","reps_multi","REP","rep_simple","rep_type"
"10","j2719eertu2","P5","479","static","space",00:22:56,"FALSE","VARIABLE","distribution outlier (variable)","distribution  (continuous)",FALSE,"describe","dataframe_describe_j2719eertu2space,",00:22:56,00:19:57,00:42:35,22.6,1358,179,179,FALSE,"describe","TABLE","CODE"
"11","j2719eertu2","P5","452","static","space",00:23:03,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X continuous)",FALSE,"dictionary","dataframe_describe_j2719eertu2space, data_dictionary,",00:23:03,00:19:57,00:42:35,22.6,1358,186,186,TRUE,"dictionary","TABLE","CODE"
"11","j2719eertu2","P5","452","static","space",00:23:03,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (categorical X continuous)",FALSE,"describe","dataframe_describe_j2719eertu2space, data_dictionary,",00:23:03,00:19:57,00:42:35,22.6,1358,186,186,TRUE,"describe","TABLE","CODE"
"12","j2719eertu2","P5","488","static","space",00:23:23,"FALSE","DATASET","data orientation",NA,FALSE,"dataframe","df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space,",00:23:23,00:19:57,00:42:35,22.6,1358,206,206,TRUE,"dataframe","TABLE","CODE"
"12","j2719eertu2","P5","488","static","space",00:23:23,"FALSE","DATASET","data orientation",NA,FALSE,"profile","df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space,",00:23:23,00:19:57,00:42:35,22.6,1358,206,206,TRUE,"profile","profile","CHART"
"13","j2719eertu2","P5","465","static","space",00:23:25,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"profile","df_column_profile_j2719eertu2space,",00:23:25,00:19:57,00:42:35,22.6,1358,208,208,FALSE,"profile","profile","CHART"
"14","j2719eertu2","P5","494","static","space",00:23:46,"FALSE","VARIABLE","distribution outlier (variable)","distribution  (continuous)",FALSE,"profile","df_column_profile_j2719eertu2space,",00:23:46,00:19:57,00:42:35,22.6,1358,229,229,FALSE,"profile","profile","CHART"
"15","j2719eertu2","P5","422","static","space",00:23:50,"FALSE","DATASET","missing data",NA,FALSE,"python","dataframe_nanPercentage_j2719eertu2space,",00:23:50,00:19:57,00:42:35,22.6,1358,233,233,FALSE,"python","CODE","CODE"
"16","j2719eertu2","P5","426","static","space",00:23:59,"FALSE","DATASET","missing data",NA,FALSE,"python","dataframe_nanPercentage_j2719eertu2space,",00:23:59,00:19:57,00:42:35,22.6,1358,242,242,FALSE,"python","CODE","CODE"
"17","j2719eertu2","P5","430","static","space",00:25:05,"FALSE","VARIABLE","distribution outlier (variable)",NA,FALSE,"describe","df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness,",00:25:05,00:19:57,00:42:35,22.6,1358,308,308,TRUE,"describe","TABLE","CODE"
"17","j2719eertu2","P5","430","static","space",00:25:05,"FALSE","VARIABLE","distribution outlier (variable)",NA,FALSE,"profile","df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness,",00:25:05,00:19:57,00:42:35,22.6,1358,308,308,TRUE,"profile","profile","CHART"
"18","j2719eertu2","P5","451","static","space",00:28:56,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:28:56,00:19:57,00:42:35,22.6,1358,539,539,FALSE,"double-profiler","profile","CHART"
"19","j2719eertu2","P5","442","static","space",00:29:30,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:29:30,00:19:57,00:42:35,22.6,1358,573,573,FALSE,"double-profiler","profile","CHART"
"20","j2719eertu2","P5","484","static","space",00:29:44,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:29:44,00:19:57,00:42:35,22.6,1358,587,587,FALSE,"double-profiler","profile","CHART"
"21","j2719eertu2","P5","481","static","space",00:29:59,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:29:59,00:19:57,00:42:35,22.6,1358,602,602,FALSE,"double-profiler","profile","CHART"
"22","j2719eertu2","P5","487","static","space",00:30:04,"FALSE","PROCESS","representation comment","distribution (categorical)",FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:30:04,00:19:57,00:42:35,22.6,1358,607,607,FALSE,"double-profiler","profile","CHART"
"23","j2719eertu2","P5","459","static","space",00:30:18,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:30:18,00:19:57,00:42:35,22.6,1358,621,621,FALSE,"double-profiler","profile","CHART"
"24","j2719eertu2","P5","464","static","space",00:32:09,"FALSE","DATASET","variable metadata",NA,TRUE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:32:09,00:19:57,00:42:35,22.6,1358,732,732,FALSE,"double-profiler","profile","CHART"
"25","j2719eertu2","P5","433","static","space",00:35:10,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",TRUE,"pairplot","pairplot_uppercaseColumns_j2719eertu2space,",00:35:10,00:19:57,00:42:35,22.6,1358,913,913,FALSE,"pairplot","pairplot","CHART"
"26","j2719eertu2","P5","420","static","space",00:37:24,"FALSE","PROCESS","plan of action",NA,FALSE,"profile","altair_profile_contVars_j2719eertu2space,",00:37:24,00:19:57,00:42:35,22.6,1358,1047,1047,FALSE,"profile","profile","CHART"
"27","j2719eertu2","P5","471","static","space",00:39:26,"FALSE","RELATIONSHIP","relationship strength and/or direction",NA,TRUE,"heatmap","correlation_heatmap_j2719eertu2space,",00:39:26,00:19:57,00:42:35,22.6,1358,1169,1169,FALSE,"heatmap","heatmap","CHART"
"28","j2719eertu2","P5","461","static","space",00:40:47,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",TRUE,"double-profiler","double_profile_survivors_nonSurvivors_j2719eertu2space,",00:40:47,00:19:57,00:42:35,22.6,1358,1250,1250,FALSE,"double-profiler","profile","CHART"
"29","j2719eertu2","P5","472","static","space",00:42:35,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"barplot","survivors_cryosleep_countplot_correct_j2719eertu2space,",00:42:35,00:19:57,00:42:35,22.6,1358,1358,1358,FALSE,"barplot","barplot","CHART"
"30","j2719eertu2","P5","478","ixn","happiness",01:14:08,"FALSE","DATASET","data orientation",NA,FALSE,"dataframe","dataframe_head_j2719eertu2happiness,",01:14:08,01:14:08,01:38:30,24.4,1462,0,0,FALSE,"dataframe","TABLE","CODE"
"31","j2719eertu2","P5","456","ixn","happiness",01:14:49,"TRUE","PROCESS","representation comment",NA,FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:14:49,01:14:08,01:38:30,24.4,1462,41,41,FALSE,"profile","profile","CHART"
"32","j2719eertu2","P5","467","ixn","happiness",01:14:50,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:14:50,01:14:08,01:38:30,24.4,1462,42,42,FALSE,"profile","profile","CHART"
"33","j2719eertu2","P5","491","ixn","happiness",01:14:59,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",TRUE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:14:59,01:14:08,01:38:30,24.4,1462,51,51,FALSE,"profile","profile","CHART"
"34","j2719eertu2","P5","428","ixn","happiness",01:15:08,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:15:08,01:14:08,01:38:30,24.4,1462,60,60,FALSE,"profile","profile","CHART"
"35","j2719eertu2","P5","436","ixn","happiness",01:15:16,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",TRUE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:15:16,01:14:08,01:38:30,24.4,1462,68,68,FALSE,"profile","profile","CHART"
"36","j2719eertu2","P5","475","ixn","happiness",01:15:38,"FALSE","DATASET","data orientation",NA,FALSE,"none",NA,01:15:38,01:14:08,01:38:30,24.4,1462,90,90,FALSE,"none","NONE","NONE"
"37","j2719eertu2","P5","437","ixn","happiness",01:15:41,"TRUE","RELATIONSHIP","relationship strength and/or direction",NA,TRUE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:15:41,01:14:08,01:38:30,24.4,1462,93,93,FALSE,"profile","profile","CHART"
"38","j2719eertu2","P5","449","ixn","happiness",01:16:11,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:16:11,01:14:08,01:38:30,24.4,1462,123,123,FALSE,"profile","profile","CHART"
"39","j2719eertu2","P5","427","ixn","happiness",01:15:27,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:15:27,01:14:08,01:38:30,24.4,1462,79,79,FALSE,"profile","profile","CHART"
"40","j2719eertu2","P5","482","ixn","happiness",01:16:39,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:16:39,01:14:08,01:38:30,24.4,1462,151,151,FALSE,"profile","profile","CHART"
"41","j2719eertu2","P5","460","ixn","happiness",01:16:52,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:16:52,01:14:08,01:38:30,24.4,1462,164,164,FALSE,"profile","profile","CHART"
"42","j2719eertu2","P5","483","ixn","happiness",01:17:16,"FALSE","DATASET","missing data",NA,FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:17:16,01:14:08,01:38:30,24.4,1462,188,188,FALSE,"profile","profile","CHART"
"43","j2719eertu2","P5","485","ixn","happiness",01:17:29,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,",01:17:29,01:14:08,01:38:30,24.4,1462,201,201,FALSE,"profile","profile","CHART"
"44","j2719eertu2","P5","493","ixn","happiness",01:17:34,"TRUE","DATASET","data orientation",NA,FALSE,"profile","highlight_brush_with_profile_j2719eertu2happiness,,",01:17:34,01:14:08,01:38:30,24.4,1462,206,206,FALSE,"profile","profile","CHART"
"45","j2719eertu2","P5","455","ixn","happiness",01:18:03,"FALSE","DATASET","data size",NA,FALSE,"describe","dataframe_description_j2719eertu2happiness,",01:18:03,01:14:08,01:38:30,24.4,1462,235,235,FALSE,"describe","TABLE","CODE"
"46","j2719eertu2","P5","490","ixn","happiness",01:18:06,"FALSE","DATASET","missing data",NA,FALSE,"python","missing_value_sum_j2719eertu2happiness,",01:18:06,01:14:08,01:38:30,24.4,1462,238,238,FALSE,"python","CODE","CODE"
"47","j2719eertu2","P5","474","ixn","happiness",01:18:38,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",TRUE,"describe","dataframe_description_j2719eertu2happiness,",01:18:38,01:14:08,01:38:30,24.4,1462,270,270,FALSE,"describe","TABLE","CODE"
"48","j2719eertu2","P5","443","ixn","happiness",01:19:47,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"heatmap","correlation_heatmap_j2719eertu2happiness,",01:19:47,01:14:08,01:38:30,24.4,1462,339,339,FALSE,"heatmap","heatmap","CHART"
"49","j2719eertu2","P5","446","ixn","happiness",01:19:58,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"heatmap","correlation_heatmap_j2719eertu2happiness,",01:19:58,01:14:08,01:38:30,24.4,1462,350,350,FALSE,"heatmap","heatmap","CHART"
"50","j2719eertu2","P5","448","ixn","happiness",01:20:16,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",TRUE,"heatmap","correlation_heatmap_j2719eertu2happiness,",01:20:16,01:14:08,01:38:30,24.4,1462,368,368,FALSE,"heatmap","heatmap","CHART"
"51","j2719eertu2","P5","445","ixn","happiness",01:20:49,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"python","sorted_happinessScore_correlation_j2719eertu2happiness,",01:20:49,01:14:08,01:38:30,24.4,1462,401,401,FALSE,"python","CODE","CODE"
"52","j2719eertu2","P5","431","ixn","happiness",01:21:46,"TRUE","PROCESS","representation comment",NA,FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness,",01:21:46,01:14:08,01:38:30,24.4,1462,458,458,FALSE,"scatterplot","scatterplot","CHART"
"53","j2719eertu2","P5","440","ixn","happiness",01:22:26,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"multiviewchart","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness,",01:22:26,01:14:08,01:38:30,24.4,1462,498,498,FALSE,"multiviewchart","multi-view chart","CHART"
"54","j2719eertu2","P5","441","ixn","happiness",01:22:39,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",01:22:39,01:14:08,01:38:30,24.4,1462,511,511,FALSE,"scatterplot","scatterplot","CHART"
"55","j2719eertu2","P5","470","ixn","happiness",01:22:46,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",01:22:46,01:14:08,01:38:30,24.4,1462,518,518,FALSE,"scatterplot","scatterplot","CHART"
"56","j2719eertu2","P5","453","ixn","happiness",01:23:20,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",01:23:20,01:14:08,01:38:30,24.4,1462,552,552,FALSE,"scatterplot","scatterplot","CHART"
"57","j2719eertu2","P5","424","ixn","happiness",01:23:42,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",01:23:42,01:14:08,01:38:30,24.4,1462,574,574,FALSE,"scatterplot","scatterplot","CHART"
"58","j2719eertu2","P5","486","ixn","happiness",01:24:33,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",01:24:33,01:14:08,01:38:30,24.4,1462,625,625,FALSE,"scatterplot","scatterplot","CHART"
"59","j2719eertu2","P5","477","ixn","happiness",01:28:17,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, Yes, used Scatterplot, df.query,",01:28:17,01:14:08,01:38:30,24.4,1462,849,849,FALSE,"scatterplot","scatterplot","CHART"
"60","j2719eertu2","P5","466","ixn","happiness",01:28:35,"FALSE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (categorical X continuous)",FALSE,"scatterplot","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness,",01:28:35,01:14:08,01:38:30,24.4,1462,867,867,FALSE,"scatterplot","scatterplot","CHART"
"61","j2719eertu2","P5","463","ixn","happiness",01:29:40,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness,",01:29:40,01:14:08,01:38:30,24.4,1462,932,932,FALSE,"scatterplot","scatterplot","CHART"
"62","j2719eertu2","P5","469","ixn","happiness",01:30:09,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",FALSE,"dataframe","correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness,",01:30:09,01:14:08,01:38:30,24.4,1462,961,961,TRUE,"dataframe","TABLE","CODE"
"62","j2719eertu2","P5","469","ixn","happiness",01:30:09,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",FALSE,"heatmap","correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness,",01:30:09,01:14:08,01:38:30,24.4,1462,961,961,TRUE,"heatmap","heatmap","CHART"
"63","j2719eertu2","P5","468","ixn","happiness",01:30:52,"TRUE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"scatterplot","yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,",01:30:52,01:14:08,01:38:30,24.4,1462,1004,1004,FALSE,"scatterplot","scatterplot","CHART"
"64","j2719eertu2","P5","438","ixn","happiness",01:31:38,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"scatterplot","yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness,",01:31:38,01:14:08,01:38:30,24.4,1462,1050,1050,FALSE,"scatterplot","scatterplot","CHART"
"65","j2719eertu2","P5","454","ixn","happiness",01:34:00,"TRUE","DATASET","missing data",NA,FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:34:00,01:14:08,01:38:30,24.4,1462,1192,1192,FALSE,"multiviewchart","multi-view chart","CHART"
"66","j2719eertu2","P5","492","ixn","happiness",01:34:20,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (categorical X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:34:20,01:14:08,01:38:30,24.4,1462,1212,1212,FALSE,"multiviewchart","multi-view chart","CHART"
"67","j2719eertu2","P5","489","ixn","happiness",01:34:34,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:34:34,01:14:08,01:38:30,24.4,1462,1226,1226,FALSE,"multiviewchart","multi-view chart","CHART"
"68","j2719eertu2","P5","462","ixn","happiness",01:35:29,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:35:29,01:14:08,01:38:30,24.4,1462,1281,1281,FALSE,"multiviewchart","multi-view chart","CHART"
"69","j2719eertu2","P5","457","ixn","happiness",01:35:45,"TRUE","RELATIONSHIP","relationship range constriction","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:35:45,01:14:08,01:38:30,24.4,1462,1297,1297,FALSE,"multiviewchart","multi-view chart","CHART"
"70","j2719eertu2","P5","429","ixn","happiness",01:35:45,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:35:45,01:14:08,01:38:30,24.4,1462,1297,1297,FALSE,"multiviewchart","multi-view chart","CHART"
"71","j2719eertu2","P5","473","ixn","happiness",01:36:27,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness,",01:36:27,01:14:08,01:38:30,24.4,1462,1339,1339,FALSE,"multiviewchart","multi-view chart","CHART"
"72","j2719eertu2","P5","435","ixn","happiness",01:37:23,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness,",01:37:23,01:14:08,01:38:30,24.4,1462,1395,1395,FALSE,"multiviewchart","multi-view chart","CHART"
"73","j2719eertu2","P5","434","ixn","happiness",01:37:47,"TRUE","VARIABLE","distribution range [min, max]","distribution  (continuous)",FALSE,"multiviewchart","yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness,",01:37:47,01:14:08,01:38:30,24.4,1462,1419,1419,FALSE,"multiviewchart","multi-view chart","CHART"
"74","j2719eertu2","P5","439","ixn","happiness",01:38:20,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:38:20,01:14:08,01:38:30,24.4,1462,1452,1452,FALSE,"multiviewchart","multi-view chart","CHART"
"75","j2719eertu2","P5","425","ixn","happiness",01:38:30,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"multiviewchart","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness,",01:38:30,01:14:08,01:38:30,24.4,1462,1462,1462,FALSE,"multiviewchart","multi-view chart","CHART"
"76","lkin27js09b","P7","561","static","space",00:23:06,"FALSE","DATASET","data size",NA,FALSE,"python","df_print2_lkin27js09bspace,",00:23:06,00:23:06,00:42:17,19.2,1151,0,0,FALSE,"python","CODE","CODE"
"77","lkin27js09b","P7","548","static","space",00:23:13,"FALSE","DATASET","variable metadata",NA,TRUE,"python","df_print2_lkin27js09bspace,",00:23:13,00:23:06,00:42:17,19.2,1151,7,7,FALSE,"python","CODE","CODE"
"78","lkin27js09b","P7","560","static","space",00:23:24,"FALSE","PROCESS","plan of action",NA,FALSE,"python","df_print2_lkin27js09bspace,",00:23:24,00:23:06,00:42:17,19.2,1151,18,18,FALSE,"python","CODE","CODE"
"79","lkin27js09b","P7","543","static","space",00:23:55,"FALSE","PROCESS","representation comment",NA,FALSE,"dictionary","data_dictionary,",00:23:55,00:23:06,00:42:17,19.2,1151,49,49,FALSE,"dictionary","TABLE","CODE"
"80","lkin27js09b","P7","553","static","space",00:24:14,"FALSE","DATASET","variable metadata",NA,FALSE,"dictionary","data_dictionary,",00:24:14,00:23:06,00:42:17,19.2,1151,68,68,FALSE,"dictionary","TABLE","CODE"
"81","lkin27js09b","P7","556","static","space",00:24:45,"FALSE","PROCESS","plan of action",NA,FALSE,"dictionary","data_dictionary,",00:24:45,00:23:06,00:42:17,19.2,1151,99,99,FALSE,"dictionary","TABLE","CODE"
"82","lkin27js09b","P7","563","static","space",00:25:45,"FALSE","DATASET","variable metadata",NA,FALSE,"dictionary","data_dictionary,",00:25:45,00:23:06,00:42:17,19.2,1151,159,159,FALSE,"dictionary","TABLE","CODE"
"83","lkin27js09b","P7","575","static","space",00:26:27,"FALSE","PROCESS","plan of action",NA,FALSE,"dictionary","data_dictionary,",00:26:27,00:23:06,00:42:17,19.2,1151,201,201,FALSE,"dictionary","TABLE","CODE"
"84","lkin27js09b","P7","571","static","space",00:26:42,"FALSE","DATASET","data orientation",NA,FALSE,"dictionary","data_dictionary,",00:26:42,00:23:06,00:42:17,19.2,1151,216,216,FALSE,"dictionary","TABLE","CODE"
"85","lkin27js09b","P7","558","static","space",00:27:09,"FALSE","DATASET","missing data",NA,FALSE,"python","df_print2_lkin27js09bspace,",00:27:09,00:23:06,00:42:17,19.2,1151,243,243,FALSE,"python","CODE","CODE"
"86","lkin27js09b","P7","557","static","space",00:27:12,"FALSE","PROCESS","representation comment",NA,FALSE,"python","df_print2_lkin27js09bspace,",00:27:12,00:23:06,00:42:17,19.2,1151,246,246,FALSE,"python","CODE","CODE"
"87","lkin27js09b","P7","568","static","space",00:29:33,"FALSE","DATASET","variable metadata",NA,TRUE,"python","df_print2_lkin27js09bspace,",00:29:33,00:23:06,00:42:17,19.2,1151,387,387,FALSE,"python","CODE","CODE"
"88","lkin27js09b","P7","569","static","space",00:32:28,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"python","unique_val_count3_lkin27js09bspace,",00:32:28,00:23:06,00:42:17,19.2,1151,562,562,FALSE,"python","CODE","CODE"
"89","lkin27js09b","P7","551","static","space",00:32:41,"FALSE","PROCESS","representation comment","distribution  (continuous)",FALSE,"python","unique_val_count3_lkin27js09bspace,",00:32:41,00:23:06,00:42:17,19.2,1151,575,575,FALSE,"python","CODE","CODE"
