"sid","pid","PNUM","uid","TASK","DATASET","timestamp","ixn","code_topic","code_detail","code_datatype","flag_simultaneous","utterance","reps_group","time","task_start","task_end","task_mins","task_second","relative_time_s","relative_time","reps_multi","REP","rep_simple","rep_type","rep_name"
"17","j2719eertu2","P5","430","static","space",00:25:05,"FALSE","VARIABLE","distribution outlier (variable)",NA,FALSE,"how many outliers are are there?","profile",00:25:05,00:19:57,00:42:35,22.6,1358,308,308,TRUE,"profile","profile","CHART","df_column_profile_j2719eertu2space dataframe_description_j2719eertu2happiness,"
"18","j2719eertu2","P5","451","static","space",00:28:56,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"Now I'm looking between people who did and did not survive. I'm seeing these distributions [HomePlanet] look pretty similar.","double-profiler",00:28:56,00:19:57,00:42:35,22.6,1358,539,539,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"19","j2719eertu2","P5","442","static","space",00:29:30,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"It looks like more of the people who were in Cryo Sleep possibly did not survive.","double-profiler",00:29:30,00:19:57,00:42:35,22.6,1358,573,573,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"20","j2719eertu2","P5","484","static","space",00:29:44,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"The destination distribution looks pretty similar.","double-profiler",00:29:44,00:19:57,00:42:35,22.6,1358,587,587,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"21","j2719eertu2","P5","481","static","space",00:29:59,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X continuous)",FALSE,"The age is pretty similar.","double-profiler",00:29:59,00:19:57,00:42:35,22.6,1358,602,602,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"22","j2719eertu2","P5","487","static","space",00:30:04,"FALSE","PROCESS","representation comment","distribution (categorical)",FALSE,"the vip it's hard to say, because there's just so many that we're not vip so later it might kind of print out
the actual counts just to check that.","double-profiler",00:30:04,00:19:57,00:42:35,22.6,1358,607,607,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"23","j2719eertu2","P5","459","static","space",00:30:18,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]",NA,FALSE,"Room service– kind of hard to say because there's so many that are 0.","double-profiler",00:30:18,00:19:57,00:42:35,22.6,1358,621,621,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"24","j2719eertu2","P5","464","static","space",00:32:09,"FALSE","DATASET","variable metadata",NA,TRUE,"so a lot of the variables that seem like they would be interesting between the 2 groups ... are categorical","double-profiler",00:32:09,00:19:57,00:42:35,22.6,1358,732,732,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"25","j2719eertu2","P5","433","static","space",00:35:10,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",TRUE,"I may want to do a transformation on these. They they don't necessarily seem like correlated, but so many of them are so close to 0 that it's just like hard to tell.","pairplot",00:35:10,00:19:57,00:42:35,22.6,1358,913,913,FALSE,"pairplot","pairplot","CHART","pairplot_uppercaseColumns_j2719eertu2space"
"26","j2719eertu2","P5","420","static","space",00:37:24,"FALSE","PROCESS","plan of action",NA,FALSE,"""Okay that is awkward. So I guess I'm really just interested in the ones that are non-zero. o now I don't know if I'm necessarily getting anywhere with this. I'm going to go back to looking at those that did and did not survive""","profile",00:37:24,00:19:57,00:42:35,22.6,1358,1047,1047,FALSE,"profile","profile","CHART","altair_profile_contVars_j2719eertu2space"
"27","j2719eertu2","P5","471","static","space",00:39:26,"FALSE","RELATIONSHIP","relationship strength and/or direction",NA,TRUE,"So I'm: kind of interested in survived and seeing if there's anything correlated with that of the continuous variables, and it kind of doesn't look like that. It doesn't look like there is.","heatmap",00:39:26,00:19:57,00:42:35,22.6,1358,1169,1169,FALSE,"heatmap","heatmap","CHART","correlation_heatmap_j2719eertu2space"
"28","j2719eertu2","P5","461","static","space",00:40:47,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",TRUE,"seems like cryosleep and potentially home planet might be associated with with survival.","double-profiler",00:40:47,00:19:57,00:42:35,22.6,1358,1250,1250,FALSE,"double-profiler","profile","CHART","double_profile_survivors_nonSurvivors_j2719eertu2space"
"29","j2719eertu2","P5","472","static","space",00:42:35,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (categorical X categorical)",FALSE,"So kind of ignoring the null ones, it seems like people that were in cryo sleep, have a much higher rate of survival than people that were not so.","barplot",00:42:35,00:19:57,00:42:35,22.6,1358,1358,1358,FALSE,"barplot","barplot","CHART","survivors_cryosleep_countplot_correct_j2719eertu2space"
"30","j2719eertu2","P5","478","ixn","happiness",01:14:08,"FALSE","DATASET","data orientation",NA,FALSE,"So we have happiness scores, country, year.","dataframe",01:14:08,01:14:08,01:38:30,24.4,1462,0,0,FALSE,"dataframe","TABLE","CODE","dataframe_head_j2719eertu2happiness"
"31","j2719eertu2","P5","456","ixn","happiness",01:14:49,"TRUE","PROCESS","representation comment",NA,FALSE,"okay, this is a lot of information.","profile",01:14:49,01:14:08,01:38:30,24.4,1462,41,41,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"32","j2719eertu2","P5","467","ixn","happiness",01:14:50,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"So happiness score overall like over all the years, looks normally distributed.","profile",01:14:50,01:14:08,01:38:30,24.4,1462,42,42,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"33","j2719eertu2","P5","491","ixn","happiness",01:14:59,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",TRUE,"These are all kinda skewed somewhat","profile",01:14:59,01:14:08,01:38:30,24.4,1462,51,51,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"34","j2719eertu2","P5","428","ixn","happiness",01:15:08,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"except for well, you know i'll kind of see it somewhat sort of normal","profile",01:15:08,01:14:08,01:38:30,24.4,1462,60,60,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"35","j2719eertu2","P5","436","ixn","happiness",01:15:16,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",TRUE,"I will start by looking at year and seeing if any of the just, like the filter distributions and blue appear to change compared with the general distribution they don't really.","profile",01:15:16,01:14:08,01:38:30,24.4,1462,68,68,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"36","j2719eertu2","P5","475","ixn","happiness",01:15:38,"FALSE","DATASET","data orientation",NA,FALSE,"So now let's look at happiness, for since that's kind of the thing that we're interested in.","none",01:15:38,01:14:08,01:38:30,24.4,1462,90,90,FALSE,"none","NONE","NONE",NA
"37","j2719eertu2","P5","437","ixn","happiness",01:15:41,"TRUE","RELATIONSHIP","relationship strength and/or direction",NA,TRUE,"i'll try to highlight like the top half of the happiness scores. So those just compared to like the overall distribution seem to have a higher log GDP per capita, higher social support, a higher life expectancy.","profile",01:15:41,01:14:08,01:38:30,24.4,1462,93,93,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"38","j2719eertu2","P5","449","ixn","happiness",01:16:11,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Maybe higher freedom. So most of so. Yeah, no, I would say higher freedom, because this one [points to one of the histogram bins] the highlighted section takes up less than half the more, and it takes up more than half, but it's still kind of a little bit skewed","profile",01:16:11,01:14:08,01:38:30,24.4,1462,123,123,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"39","j2719eertu2","P5","427","ixn","happiness",01:15:27,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Corruption. So it looks like the top half of the happiness scores tend to make up, like all of the low corruption points.","profile",01:15:27,01:14:08,01:38:30,24.4,1462,79,79,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"40","j2719eertu2","P5","482","ixn","happiness",01:16:39,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"The confidence in government almost seems exactly half and half so. I'm wondering if, like confidence in government does not
correlate with happiness score.","profile",01:16:39,01:14:08,01:38:30,24.4,1462,151,151,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"41","j2719eertu2","P5","460","ixn","happiness",01:16:52,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Same with negative affect a bit.","profile",01:16:52,01:14:08,01:38:30,24.4,1462,164,164,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"42","j2719eertu2","P5","483","ixn","happiness",01:17:16,"FALSE","DATASET","missing data",NA,FALSE,"the data quality seems pretty good. I'm going to see if there's missing values.","profile",01:17:16,01:14:08,01:38:30,24.4,1462,188,188,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"43","j2719eertu2","P5","485","ixn","happiness",01:17:29,"FALSE","VARIABLE","distribution shape [shape, skew, kurtosis]","distribution  (continuous)",FALSE,"the output is normally distributed, so there's like a good range of examples for all happiness scores","profile",01:17:29,01:14:08,01:38:30,24.4,1462,201,201,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness"
"44","j2719eertu2","P5","493","ixn","happiness",01:17:34,"TRUE","DATASET","data orientation",NA,FALSE,"which is good, because then we can get a really a good idea of which things are affecting it.","profile",01:17:34,01:14:08,01:38:30,24.4,1462,206,206,FALSE,"profile","profile","CHART","highlight_brush_with_profile_j2719eertu2happiness,"
"45","j2719eertu2","P5","455","ixn","happiness",01:18:03,"FALSE","DATASET","data size",NA,FALSE,"okay, so there's like 2,000 points.","describe",01:18:03,01:14:08,01:38:30,24.4,1462,235,235,FALSE,"describe","TABLE","CODE","dataframe_description_j2719eertu2happiness"
"46","j2719eertu2","P5","490","ixn","happiness",01:18:06,"FALSE","DATASET","missing data",NA,FALSE,"There's a couple of missing scores for some of the points. some of the samples, but nothing like too bad.","python",01:18:06,01:14:08,01:38:30,24.4,1462,238,238,FALSE,"python","CODE","CODE","missing_value_sum_j2719eertu2happiness"
"47","j2719eertu2","P5","474","ixn","happiness",01:18:38,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",TRUE,"So now i'm interested in looking at the relationship of all these different columns with the happiness score, and also kind of investigating that over time.","describe",01:18:38,01:14:08,01:38:30,24.4,1462,270,270,FALSE,"describe","TABLE","CODE","dataframe_description_j2719eertu2happiness"
"48","j2719eertu2","P5","443","ixn","happiness",01:19:47,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"It seems like Life Expectancy is associated with happiness score.","heatmap",01:19:47,01:14:08,01:38:30,24.4,1462,339,339,FALSE,"heatmap","heatmap","CHART","correlation_heatmap_j2719eertu2happiness"
"49","j2719eertu2","P5","446","ixn","happiness",01:19:58,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"Life Expectancy might not be associated with happiness score. It might be like a surrogate measure for happiness score, because it seems like a lot of these other things might impact life expectancy.","heatmap",01:19:58,01:14:08,01:38:30,24.4,1462,350,350,FALSE,"heatmap","heatmap","CHART","correlation_heatmap_j2719eertu2happiness"
"50","j2719eertu2","P5","448","ixn","happiness",01:20:16,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",TRUE,"Log GDP per capita also seems very positively correlated with happiness. So does social support, freedom, and positive affect.","heatmap",01:20:16,01:14:08,01:38:30,24.4,1462,368,368,FALSE,"heatmap","heatmap","CHART","correlation_heatmap_j2719eertu2happiness"
"51","j2719eertu2","P5","445","ixn","happiness",01:20:49,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"let's look at the one that is most positively correlated, which seems to be log Gdp per capita. So i'll start with that variable","python",01:20:49,01:14:08,01:38:30,24.4,1462,401,401,FALSE,"python","CODE","CODE","sorted_happinessScore_correlation_j2719eertu2happiness"
"52","j2719eertu2","P5","431","ixn","happiness",01:21:46,"TRUE","PROCESS","representation comment",NA,FALSE,"I actually kind of would prefer to layer the visualizations. I liked having the highlight brush and the tool to cover together because I felt like I could get more information from one visualization.","scatterplot",01:21:46,01:14:08,01:38:30,24.4,1462,458,458,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness"
"53","j2719eertu2","P5","440","ixn","happiness",01:22:26,"FALSE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"it definitely seems like there is a positive trend which we already confirm that the the correlation is 0.78","multiviewchart",01:22:26,01:14:08,01:38:30,24.4,1462,498,498,FALSE,"multiviewchart","multi-view chart","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness correlation_heatmap_j2719eertu2happiness,"
"54","j2719eertu2","P5","441","ixn","happiness",01:22:39,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (continuous X continuous)",FALSE,"it kind of looks like they're
are some points that Don't necessarily follow that trend. So here's a company or a country country
with
a log Gdp per capita of 5.5,
and if it was to follow the rest of the trend. We might expect the happiness for it to be like
2 or 3
relatively low. But it's up here at 5, so that's Venezuela in 2019.","scatterplot",01:22:39,01:14:08,01:38:30,24.4,1462,511,511,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness"
"55","j2719eertu2","P5","470","ixn","happiness",01:22:46,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"So i'm wondering if like for this point. if there is another variable that explains the better, explains the relationship.","scatterplot",01:22:46,01:14:08,01:38:30,24.4,1462,518,518,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness"
"56","j2719eertu2","P5","453","ixn","happiness",01:23:20,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"Oh, interesting. Okay. So all 3 of these are Venezuela, from 2,017 to 2,019.
So yeah, i'm wondering if there's like a different variable that better explains the happiness score rather than GDP","scatterplot",01:23:20,01:14:08,01:38:30,24.4,1462,552,552,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness"
"57","j2719eertu2","P5","424","ixn","happiness",01:23:42,"TRUE","RELATIONSHIP","outlier (relationship)","relationship (multivariate)
",FALSE,"And then, similarly, there's a couple of other points over here that have a higher GDP per capital, where you might expect their happiness score to be somewhere between
6.5 and 3.5, but they're all the way down here
at 2.6 and 2.2,
and those are both 11 on between 2020 and 21 so just from this that gave me like a couple interesting potential points to figure out what was going on in Venezuela between those years and also what was going on in in Lebanon.","scatterplot",01:23:42,01:14:08,01:38:30,24.4,1462,574,574,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness"
"58","j2719eertu2","P5","486","ixn","happiness",01:24:33,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"the rest of these countries seem to generally  follow the same trend.","scatterplot",01:24:33,01:14:08,01:38:30,24.4,1462,625,625,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness"
"59","j2719eertu2","P5","477","ixn","happiness",01:28:17,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"So those points that had an unusually like high happiness score based on Gdp have a pretty high social support.","scatterplot",01:28:17,01:14:08,01:38:30,24.4,1462,849,849,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness Yes, used Scatterplot, df.query,"
"60","j2719eertu2","P5","466","ixn","happiness",01:28:35,"FALSE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (categorical X continuous)",FALSE,"So and then you also see that this is like pretty correlated, although it might not be linear. It kind of looks like it's a i'm not forgetting the name of the non-linear relationship.","scatterplot",01:28:35,01:14:08,01:38:30,24.4,1462,867,867,FALSE,"scatterplot","scatterplot","CHART","logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness"
"61","j2719eertu2","P5","463","ixn","happiness",01:29:40,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"So 2005 kind of looks like this relationship doesn't really change too much over time.","scatterplot",01:29:40,01:14:08,01:38:30,24.4,1462,932,932,FALSE,"scatterplot","scatterplot","CHART","yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness"
"62","j2719eertu2","P5","469","ixn","happiness",01:30:09,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",FALSE,"So I'm looking at which variables are correlated with Year because I'm curious about like which variables actually changed over time. And then looking at whether or not over time, the relationship between that variable and like happiness score.","dataframe",01:30:09,01:14:08,01:38:30,24.4,1462,961,961,TRUE,"dataframe","TABLE","CODE","correlation_matrix_j2719eertu2happiness correlation_heatmap_j2719eertu2happiness,"
"62","j2719eertu2","P5","469","ixn","happiness",01:30:09,"FALSE","RELATIONSHIP","relationship existence / non-existence","relationship (continuous X continuous)",FALSE,"So I'm looking at which variables are correlated with Year because I'm curious about like which variables actually changed over time. And then looking at whether or not over time, the relationship between that variable and like happiness score.","heatmap",01:30:09,01:14:08,01:38:30,24.4,1462,961,961,TRUE,"heatmap","heatmap","CHART","correlation_matrix_j2719eertu2happiness correlation_heatmap_j2719eertu2happiness,"
"63","j2719eertu2","P5","468","ixn","happiness",01:30:52,"TRUE","RELATIONSHIP","relationship form (linearity/non-linearity)","relationship (continuous X continuous)",FALSE,"So here freedom is like appears very linearly correlated with happiness score. And then as time goes on, that relationship it becomes less obvious particularly in the years like 2014.","scatterplot",01:30:52,01:14:08,01:38:30,24.4,1462,1004,1004,FALSE,"scatterplot","scatterplot","CHART","yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness"
"64","j2719eertu2","P5","438","ixn","happiness",01:31:38,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (multivariate)
",FALSE,"I'm guessing that if you made a a model of these 2 variables like depending on the year. You might get either get like no correlation or like a negative correlation. I know sometimes certain, like regression models will pick a path through the points that isn't necessarily what you expect.","scatterplot",01:31:38,01:14:08,01:38:30,24.4,1462,1050,1050,FALSE,"scatterplot","scatterplot","CHART","yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness"
"65","j2719eertu2","P5","454","ixn","happiness",01:34:00,"TRUE","DATASET","missing data",NA,FALSE,"Oh, wow, okay. So
there's a lot more happiness scores as the years go on, and I kind of can't see all of them on that.
I guess the 2,005 they didn't measure happiness score for all the countries
","multiviewchart",01:34:00,01:14:08,01:38:30,24.4,1462,1192,1192,FALSE,"multiviewchart","multi-view chart","CHART","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness"
"66","j2719eertu2","P5","492","ixn","happiness",01:34:20,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (categorical X continuous)",FALSE,"Well, the US was third in 2007, and then kind of drops.","multiviewchart",01:34:20,01:14:08,01:38:30,24.4,1462,1212,1212,FALSE,"multiviewchart","multi-view chart","CHART","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness"
"67","j2719eertu2","P5","489","ixn","happiness",01:34:34,"TRUE","RELATIONSHIP","relationship cluster(s)/subgroup/ unexpected","relationship (continuous X continuous)",FALSE,"Then Denmark, Finland, Sweden, Netherlands – so like the countries in that region of Europe – look like they are pretty consistently like among the top happiest countries.","multiviewchart",01:34:34,01:14:08,01:38:30,24.4,1462,1226,1226,FALSE,"multiviewchart","multi-view chart","CHART","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness"
"68","j2719eertu2","P5","462","ixn","happiness",01:35:29,"TRUE","RELATIONSHIP","relationship strength and/or direction","relationship (continuous X continuous)",FALSE,"so 2,005, there's fewer countries is measuring their happiness for so it kind of looks like the
like mean happiness. Score is higher, but it might just be that
the countries with the lower happiness just weren't measured that year.","multiviewchart",01:35:29,01:14:08,01:38:30,24.4,1462,1281,1281,FALSE,"multiviewchart","multi-view chart","CHART","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness"
"69","j2719eertu2","P5","457","ixn","happiness",01:35:45,"TRUE","RELATIONSHIP","relationship range constriction","relationship (continuous X continuous)",FALSE,"Other than that
it looks like that. like the I mean, like happiness. Score kind of stays between 5 and 6,","multiviewchart",01:35:45,01:14:08,01:38:30,24.4,1462,1297,1297,FALSE,"multiviewchart","multi-view chart","CHART","yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness"
