UID,PID,Notebook,Timestamp,interaction_used,Condition,group,highlevel,Data Type,UtteranceType,Utterance,All representations,Python Used,Didn't use interaction,Insight Description,Justification,Was Interaction Used,Was Recapped,Was Vis used,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
10,j2719eertu2,Space,22:56,FALSE,Static,describe,VARIABLE,distribution  (continuous),distribution outlier (variable),"So yeah, it seems like there's some very high values for some of these variables.","dataframe_describe_j2719eertu2space,",dataframe_describe_j2719eertu2space,,Some of the columns have a high value,Maked as continuous as the outliers were in continuous coulms.,,,,,,df.describe(),,dataframe_describe_j2719eertu2space,describe,  df.describe() 
11,j2719eertu2,Space,23:03,FALSE,Static,data_dictionary_describe,RELATIONSHIP,relationship (categorical X continuous),relationship existence / non-existence,"Oh, how much money the passenger used on a variety of things which i'm guessing is probably it might be correlated with VIP,","dataframe_describe_j2719eertu2space, data_dictionary,",dataframe_describe_j2719eertu2space,,,,,,,,,df.describe(),data_dictionary,"dataframe_describe_j2719eertu2space, data_dictionary","describe, data_dictionary",  df.describe() data_dictionary
12,j2719eertu2,Space,23:23,FALSE,Static,dataframe_profile,DATASET,,data orientation,"Their name– which is probably like.
mostly irrelevant.","df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space,",titanicDataFrame_head2_j2719eertu2space,,"Note, went back and fourth between head and profiler (checking an overview in the profiler and then verifying that the actual data itself matches). ",,,,df_column_profile_j2719eertu2space,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",df.head(),,"df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space","visualization, dataframe"," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns) df.head() "
13,j2719eertu2,Space,23:25,FALSE,Static,profile,VARIABLE,,"distribution shape [shape, skew, kurtosis]",So about half the passengers survived.,"df_column_profile_j2719eertu2space,",,,,,,,df_column_profile_j2719eertu2space,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
14,j2719eertu2,Space,23:46,FALSE,Static,profile,VARIABLE,distribution  (continuous),distribution outlier (variable),"Yeah, I mean, it seems like there might be some outliers for some of these variables as far as like spending on various things.","df_column_profile_j2719eertu2space,",,,Some outliers may exist for spending columns ,,,,df_column_profile_j2719eertu2space,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
15,j2719eertu2,Space,23:50,FALSE,Static,none,DATASET,,missing data,"And then there's also a decent amount of like missingmissing variables for different. It's like. but no more than 5 ish. 100 divided by 5,000. It's not 5. That's 2%. Yeah. So there's like 2% missing for each variable.","dataframe_nanPercentage_j2719eertu2space,",dataframe_nanPercentage_j2719eertu2space,,There's also a decent amount of missing values (2%),,,,,,,df.isna().sum(axis = 0)/5000,,dataframe_nanPercentage_j2719eertu2space,other,df.isna().sum(axis = 0)/5000
16,,,,FALSE,,none,DATASET,,missing data,But none of them are missing the outcome. So that's good.,,,,,Said that just mentioning predict/outcome doesn't qualify as data orientation,,,,,,,,,,   
17,j2719eertu2,Space,25:05:00,FALSE,Static,describe_profile,VARIABLE,,distribution outlier (variable),how many outliers are are there?,"df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness,",dataframe_description_j2719eertu2happiness,,Spending histograms seem to be skewed due to outliers,,,,df_column_profile_j2719eertu2space,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",df.describe(),,"df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness","visualization, describe"," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns) df.describe() "
18,j2719eertu2,Space,28:56:00,FALSE,Static,double-profiler,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,Now I'm looking between people who did and did not survive. I'm seeing these distributions [HomePlanet] look pretty similar.,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,HomePlanet distributions between survived and not survived are similar. ,Seemed more to be just a 'non relationship' as distributions are similar,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
19,j2719eertu2,Space,29:30:00,FALSE,Static,double-profiler,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,It looks like more of the people who were in Cryo Sleep possibly did not survive.,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,Most people in who survived didn't use cryosleep,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
20,j2719eertu2,Space,29:44:00,FALSE,Static,double-profiler,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,The destination distribution looks pretty similar.,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
21,j2719eertu2,Space,29:59:00,FALSE,Static,double-profiler,RELATIONSHIP,relationship (categorical X continuous),relationship strength and/or direction,The age is pretty similar.,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,Age is similar between survived and not.,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
22,j2719eertu2,Space,30:04:00,FALSE,Static,double-profiler,ANALYSIS PROCESS,distribution (categorical),representation comment,"the vip it's hard to say, because there's just so many that we're not vip so later it might kind of print out
the actual counts just to check that.","double_profile_survivors_nonSurvivors_j2719eertu2space,",,,VIP distributions between survived and not are difficult to determine,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
23,j2719eertu2,Space,30:18:00,FALSE,Static,double-profiler,VARIABLE,,"distribution shape [shape, skew, kurtosis]",Room service– kind of hard to say because there's so many that are 0.,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,Room service was skewed ,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
24,j2719eertu2,Space,32:09:00,FALSE,Static,double-profiler,DATASET,,variable metadata,so a lot of the variables that seem like they would be interesting between the 2 groups ... are categorical,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
25,j2719eertu2,Space,35:10:00,FALSE,Static,pairplot,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","I may want to do a transformation on these. They they don't necessarily seem like correlated, but so many of them are so close to 0 that it's just like hard to tell.","pairplot_uppercaseColumns_j2719eertu2space,",,,,,,,pairplot_uppercaseColumns_j2719eertu2space,,"alx.pairplot(df[['RoomService', 'FoodCourt', 'ShoppingMall', 'Spa', 'VRDeck']])",,,pairplot_uppercaseColumns_j2719eertu2space,visualization," alx.pairplot(df[['RoomService', 'FoodCourt', 'ShoppingMall', 'Spa', 'VRDeck']])  "
26,j2719eertu2,Space,37:24:00,FALSE,Static,profile,ANALYSIS PROCESS,,plan of action,"""Okay that is awkward. So I guess I'm really just interested in the ones that are non-zero. o now I don't know if I'm necessarily getting anywhere with this. I'm going to go back to looking at those that did and did not survive""","altair_profile_contVars_j2719eertu2space,",,,Note: accidently visualized the variables that didn't get transformed. ,,,,altair_profile_contVars_j2719eertu2space,,"alx.profile(df ,vars=cont_vars)",,,altair_profile_contVars_j2719eertu2space,visualization," alx.profile(df ,vars=cont_vars)  "
27,j2719eertu2,Space,39:26:00,FALSE,Static,heatmap,RELATIONSHIP,,relationship strength and/or direction,"So I'm: kind of interested in survived and seeing if there's anything correlated with that of the continuous variables, and it kind of doesn't look like that. It doesn't look like there is.","correlation_heatmap_j2719eertu2space,",,,,"Coded just as strength and direction as corr matrix shows the correlation value itself, so doesn't look like there is implies there were no values with a corr value largely different than 0 (or standout)",,,correlation_heatmap_j2719eertu2space,,"correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,correlation_heatmap_j2719eertu2space,visualization," correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
28,j2719eertu2,Space,40:47:00,FALSE,Static,double-profiler,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,seems like cryosleep and potentially home planet might be associated with with survival.,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,,,,double_profile_survivors_nonSurvivors_j2719eertu2space,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
29,j2719eertu2,Space,42:35:00,FALSE,Static,barplot,RELATIONSHIP,relationship (categorical X categorical),relationship strength and/or direction,"So kind of ignoring the null ones, it seems like people that were in cryo sleep, have a much higher rate of survival than people that were not so.","survivors_cryosleep_countplot_correct_j2719eertu2space,",,,Incorrect inference. ,,,,survivors_cryosleep_countplot_correct_j2719eertu2space,,"survive_df = df[df['survived']]
 

 

 alx.countplot(df,x='CryoSleep') + alx.countplot(df[~df['survived']],x='CryoSleep').mark_bar(color='orange')",,,survivors_cryosleep_countplot_correct_j2719eertu2space,visualization," survive_df = df[df['survived']]
 

 

 alx.countplot(df,x='CryoSleep') + alx.countplot(df[~df['survived']],x='CryoSleep').mark_bar(color='orange')  "
30,j2719eertu2,Happiness,1:14:08,FALSE,Interactive,dataframe,DATASET,,data orientation,"So we have happiness scores, country, year. ","dataframe_head_j2719eertu2happiness,",dataframe_head_j2719eertu2happiness,,,,,,,,,df.head(),,dataframe_head_j2719eertu2happiness,dataframe,  df.head() 
31,j2719eertu2,Happiness,1:14:49,TRUE,Interactive,profile,ANALYSIS PROCESS,,representation comment,"okay, this is a lot of information.","highlight_brush_with_profile_j2719eertu2happiness,",,,Looking at a profiler visualization for a number of columns quickly became overwhelming,,,,highlight_brush_with_profile_j2719eertu2happiness,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
32,j2719eertu2,Happiness,1:14:50,FALSE,Interactive,profile,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","So happiness score overall like over all the years, looks normally distributed.","highlight_brush_with_profile_j2719eertu2happiness,",,No interaction ,,"Coded as distribution rather than relationship as all the year was referring to not filtering data, but just displaying all of it",,,highlight_brush_with_profile_j2719eertu2happiness,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
33,j2719eertu2,Happiness,1:14:59,FALSE,Interactive,profile,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",These are all kinda skewed somewhat ,"highlight_brush_with_profile_j2719eertu2happiness,",,No interaction ,,,,,highlight_brush_with_profile_j2719eertu2happiness,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
34,j2719eertu2,Happiness,1:15:08,FALSE,Interactive,profile,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","except for well, you know i'll kind of see it somewhat sort of normal","highlight_brush_with_profile_j2719eertu2happiness,",,No interaction ,,,,,highlight_brush_with_profile_j2719eertu2happiness,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
35,j2719eertu2,Happiness,1:15:16,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"I will start by looking at year and seeing if any of the just, like the filter distributions and blue appear to change compared with the general distribution they don't really.","highlight_brush_with_profile_j2719eertu2happiness,",,,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
36,,,1:15:38,FALSE,,none,DATASET,,data orientation,"So now let's look at happiness, for since that's kind of the thing that we're interested in.",,,,,Orientation as outcome is identified,,,,,,,,,,   
37,j2719eertu2,Happiness,1:15:41,TRUE,Interactive,profile,RELATIONSHIP,,relationship strength and/or direction,"i'll try to highlight like the top half of the happiness scores. So those just compared to like the overall distribution seem to have a higher log GDP per capita, higher social support, a higher life expectancy.","highlight_brush_with_profile_j2719eertu2happiness,",,,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
38,j2719eertu2,Happiness,1:16:11,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Maybe higher freedom. So most of so. Yeah, no, I would say higher freedom, because this one [points to one of the histogram bins] the highlighted section takes up less than half the more, and it takes up more than half, but it's still kind of a little bit skewed","highlight_brush_with_profile_j2719eertu2happiness,",,,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
39,j2719eertu2,Happiness,1:15:27,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Corruption. So it looks like the top half of the happiness scores tend to make up, like all of the low corruption points.","highlight_brush_with_profile_j2719eertu2happiness,",,,,Not tagged as categorical here because it's hard to know what they view as cat vs continuous. ,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
40,j2719eertu2,Happiness,1:16:39,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"The confidence in government almost seems exactly half and half so. I'm wondering if, like confidence in government does not
correlate with happiness score.","highlight_brush_with_profile_j2719eertu2happiness,",,,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
41,j2719eertu2,Happiness,1:16:52,TRUE,Interactive,profile,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,Same with negative affect a bit.,"highlight_brush_with_profile_j2719eertu2happiness,",,,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
42,j2719eertu2,Happiness,1:17:16,FALSE,Interactive,profile,DATASET,,missing data,the data quality seems pretty good. I'm going to see if there's missing values. ,"highlight_brush_with_profile_j2719eertu2happiness,",,No interaction,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
43,j2719eertu2,Happiness,1:17:29,FALSE,Interactive,profile,VARIABLE,distribution  (continuous),"distribution shape [shape, skew, kurtosis]","the output is normally distributed, so there's like a good range of examples for all happiness scores","highlight_brush_with_profile_j2719eertu2happiness,",,No interaction,,,highlight_brush_with_profile_j2719eertu2happiness,,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
44,,,1:17:34,TRUE,,profile,DATASET,,data orientation,"which is good, because then we can get a really a good idea of which things are affecting it.",,,,,,"highlight_brush_with_profile_j2719eertu2happiness,",,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,"highlight_brush_with_profile_j2719eertu2happiness,",visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
45,j2719eertu2,Happiness,1:18:03,FALSE,Interactive,describe,DATASET,,data size,"okay, so there's like 2,000 points.","dataframe_description_j2719eertu2happiness,",dataframe_description_j2719eertu2happiness,,,,,,,,,df.describe(),,dataframe_description_j2719eertu2happiness,describe,  df.describe() 
46,j2719eertu2,Happiness,1:18:06,FALSE,Interactive,none,DATASET,,missing data,"There's a couple of missing scores for some of the points. some of the samples, but nothing like too bad.","missing_value_sum_j2719eertu2happiness,",missing_value_sum_j2719eertu2happiness,,,,,,,,,df.isna().sum(axis = 0),,missing_value_sum_j2719eertu2happiness,other,df.isna().sum(axis = 0)
47,j2719eertu2,Happiness,1:18:38,FALSE,Interactive,describe,RELATIONSHIP,relationship (continuous X continuous),relationship existence / non-existence,"So now i'm interested in looking at the relationship of all these different columns with the happiness score, and also kind of investigating that over time.","dataframe_description_j2719eertu2happiness,",dataframe_description_j2719eertu2happiness,,,,,,,,,df.describe(),,dataframe_description_j2719eertu2happiness,describe,  df.describe() 
48,j2719eertu2,Happiness,1:19:47,FALSE,Interactive,heatmap,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,It seems like Life Expectancy is associated with happiness score.,"correlation_heatmap_j2719eertu2happiness,",,,,,,,correlation_heatmap_j2719eertu2happiness,,"correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,correlation_heatmap_j2719eertu2happiness,visualization," correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
49,j2719eertu2,Happiness,1:19:58,FALSE,Interactive,heatmap,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Life Expectancy might not be associated with happiness score. It might be like a surrogate measure for happiness score, because it seems like a lot of these other things might impact life expectancy.","correlation_heatmap_j2719eertu2happiness,",,,"Life expenctency is correlated with happiness score, but i'd imagine many other factors impact life expectancy so it's just a surrogate. ",,,,correlation_heatmap_j2719eertu2happiness,,"correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,correlation_heatmap_j2719eertu2happiness,visualization," correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
50,j2719eertu2,Happiness,1:20:16,FALSE,Interactive,heatmap,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"Log GDP per capita also seems very positively correlated with happiness. So does social support, freedom, and positive affect. ","correlation_heatmap_j2719eertu2happiness,",,,,,,,correlation_heatmap_j2719eertu2happiness,,"correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,correlation_heatmap_j2719eertu2happiness,visualization," correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
51,j2719eertu2,Happiness,1:20:49,FALSE,Interactive,none,RELATIONSHIP,relationship (continuous X continuous),relationship strength and/or direction,"let's look at the one that is most positively correlated, which seems to be log Gdp per capita. So i'll start with that variable","sorted_happinessScore_correlation_j2719eertu2happiness,",sorted_happinessScore_correlation_j2719eertu2happiness,,,,,,,,,correlation_matrix['happinessScore'].sort_values(),,sorted_happinessScore_correlation_j2719eertu2happiness,other,  correlation_matrix['happinessScore'].sort_values() 
52,j2719eertu2,Happiness,1:21:46,TRUE,Interactive,scatterplot,ANALYSIS PROCESS,,representation comment,I actually kind of would prefer to layer the visualizations. I liked having the highlight brush and the tool to cover together because I felt like I could get more information from one visualization.,"logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness,",,,,,logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness,,,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 7)",,,,logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness,visualization,"alx.tooltip_hover()+alx.highlight_brush()+alx.scatterplot(df,x='logGDPPerCapita',y='happinessScore', width = 7)"
