,Final_Group,Utterance Type,Utterance,Data Type,interaction_used,Highlevel,PID,Notebook,Condition,All representations,Timestamp,Dylan Flag Storytelling,Dylan Flag Correction,Dylan Flag Simultaneous Characterization,group
39,profile,relationship strength and/or direction,"Corruption. So it looks like the top half of the happiness scores tend to make up, like all of the low corruption points.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:15:27,,,,profile
40,profile,relationship strength and/or direction,"The confidence in government almost seems exactly half and half so. I'm wondering if, like confidence in government does not
correlate with happiness score.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:16:39,,,,profile
41,profile,relationship strength and/or direction,Same with negative affect a bit.,relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:16:52,,,,profile
42,profile,missing data,the data quality seems pretty good. I'm going to see if there's missing values. ,,False,DATASET,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",01:17:16,,,,profile
43,profile,"distribution shape [shape, skew, kurtosis]","the output is normally distributed, so there's like a good range of examples for all happiness scores",distribution  (continuous),False,VARIABLE,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",01:17:29,,,,profile
44,profile,data orientation,"which is good, because then we can get a really a good idea of which things are affecting it.",,True,DATASET,j2719eertu2,Happiness,Interaction,"highlight_brush_with_profile_j2719eertu2happiness,, ",1:17:34,,,,profile
45,describe,data size,"okay, so there's like 2,000 points.",,False,DATASET,j2719eertu2,Happiness,Interactive,"dataframe_description_j2719eertu2happiness, ",1:18:03,,,,describe
46,python,missing data,"There's a couple of missing scores for some of the points. some of the samples, but nothing like too bad.",,False,DATASET,j2719eertu2,Happiness,Interactive,"missing_value_sum_j2719eertu2happiness, ",1:18:06,,,,python
47,describe,relationship existence / non-existence,"So now i'm interested in looking at the relationship of all these different columns with the happiness score, and also kind of investigating that over time.",relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"dataframe_description_j2719eertu2happiness, ",1:18:38,,,True,describe
48,heatmap,relationship strength and/or direction,It seems like Life Expectancy is associated with happiness score.,relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_heatmap_j2719eertu2happiness, ",1:19:47,,,,heatmap
49,heatmap,relationship strength and/or direction,"Life Expectancy might not be associated with happiness score. It might be like a surrogate measure for happiness score, because it seems like a lot of these other things might impact life expectancy.",relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_heatmap_j2719eertu2happiness, ",1:19:58,,True,,heatmap
50,heatmap,relationship strength and/or direction,"Log GDP per capita also seems very positively correlated with happiness. So does social support, freedom, and positive affect. ",relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_heatmap_j2719eertu2happiness, ",1:20:16,,,True,heatmap
51,python,relationship strength and/or direction,"let's look at the one that is most positively correlated, which seems to be log Gdp per capita. So i'll start with that variable",relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"sorted_happinessScore_correlation_j2719eertu2happiness, ",01:20:49,,,,python
52,scatterplot,representation comment,I actually kind of would prefer to layer the visualizations. I liked having the highlight brush and the tool to cover together because I felt like I could get more information from one visualization.,,True,ANALYSIS PROCESS,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness, ",01:21:46,,,,scatterplot
53,Multi-view Chart,relationship strength and/or direction,it definitely seems like there is a positive trend which we already confirm that the the correlation is 0.78,relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness, ",1:22:26,,,,Multi-view Chart
54,scatterplot,outlier (relationship),"it kind of looks like they're
are some points that Don't necessarily follow that trend. So here's a company or a country country
with
a log Gdp per capita of 5.5,
and if it was to follow the rest of the trend. We might expect the happiness for it to be like
2 or 3
relatively low. But it's up here at 5, so that's Venezuela in 2019. ",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:22:39,,,,scatterplot
55,scatterplot,outlier (relationship),"So i'm wondering if like for this point. if there is another variable that explains the better, explains the relationship.","relationship (multivariate)
",True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:22:46,,,,scatterplot
56,scatterplot,outlier (relationship),"Oh, interesting. Okay. So all 3 of these are Venezuela, from 2,017 to 2,019.
So yeah, i'm wondering if there's like a different variable that better explains the happiness score rather than GDP","relationship (multivariate)
",True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:23:20,,,,scatterplot
57,scatterplot,outlier (relationship),"And then, similarly, there's a couple of other points over here that have a higher GDP per capital, where you might expect their happiness score to be somewhere between
6.5 and 3.5, but they're all the way down here
at 2.6 and 2.2,
and those are both 11 on between 2020 and 21 so just from this that gave me like a couple interesting potential points to figure out what was going on in Venezuela between those years and also what was going on in in Lebanon.","relationship (multivariate)
",True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:23:42,True,,,scatterplot
58,scatterplot,relationship strength and/or direction,the rest of these countries seem to generally  follow the same trend.,relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",01:24:33,,,,scatterplot
59,scatterplot,relationship strength and/or direction,So those points that had an unusually like high happiness score based on Gdp have a pretty high social support.,"relationship (multivariate)
",True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, Yes, used Scatterplot, df.query, ",1:28:17,,,,scatterplot
60,scatterplot,relationship form (linearity/non-linearity),"So and then you also see that this is like pretty correlated, although it might not be linear. It kind of looks like it's a i'm not forgetting the name of the non-linear relationship.",relationship (categorical X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:28:35,,,,scatterplot
61,scatterplot,relationship strength and/or direction,So 2005 kind of looks like this relationship doesn't really change too much over time.,"relationship (multivariate)
",True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness, ",1:29:40,,,,scatterplot
62,dataframe_heatmap,relationship existence / non-existence,"So I'm looking at which variables are correlated with Year because I'm curious about like which variables actually changed over time. And then looking at whether or not over time, the relationship between that variable and like happiness score. ",relationship (continuous X continuous),False,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness, ",1:30:09,,,,dataframe_heatmap
63,scatterplot,relationship form (linearity/non-linearity),"So here freedom is like appears very linearly correlated with happiness score. And then as time goes on, that relationship it becomes less obvious particularly in the years like 2014.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness, ",1:30:52,,,,scatterplot
64,scatterplot,relationship strength and/or direction,"I'm guessing that if you made a a model of these 2 variables like depending on the year. You might get either get like no correlation or like a negative correlation. I know sometimes certain, like regression models will pick a path through the points that isn't necessarily what you expect.","relationship (multivariate)
",True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness, ",01:31:38,,,,scatterplot
65,Multi-view Chart,missing data,"Oh, wow, okay. So
there's a lot more happiness scores as the years go on, and I kind of can't see all of them on that.
I guess the 2,005 they didn't measure happiness score for all the countries
",,True,DATASET,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:34:00,True,,,Multi-view Chart
66,Multi-view Chart,relationship cluster(s)/subgroup/ unexpected,"Well, the US was third in 2007, and then kind of drops.",relationship (categorical X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:34:20,,,,Multi-view Chart
67,Multi-view Chart,relationship cluster(s)/subgroup/ unexpected,"Then Denmark, Finland, Sweden, Netherlands – so like the countries in that region of Europe – look like they are pretty consistently like among the top happiest countries.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:34:34,,,,Multi-view Chart
68,Multi-view Chart,relationship strength and/or direction,"so 2,005, there's fewer countries is measuring their happiness for so it kind of looks like the
like mean happiness. Score is higher, but it might just be that
the countries with the lower happiness just weren't measured that year.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:35:29,,,,Multi-view Chart
69,Multi-view Chart,relationship range constriction,"Other than that
it looks like that. like the I mean, like happiness. Score kind of stays between 5 and 6,",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:35:45,,,,Multi-view Chart
70,Multi-view Chart,outlier (relationship),"except in 2,021, it increases that's which well. yeah, which is kind of interesting. 2021 was like. Maybe that's the rebound effect from 2020.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:35:45,True,,,Multi-view Chart
71,Multi-view Chart,relationship strength and/or direction,"So let me change the scatter plot to back to the log.
GDPpercapita
so that relationship stays pretty
constant.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",1:36:27,,,,Multi-view Chart
72,Multi-view Chart,outlier (relationship),"I was curious, just because I know 2,020 was like a
very outlier year in terms of like a lot of things. I was wondering if I could see that. and reflected in
either like the happiness score or in any of the other variables. And if maybe that year would need to be like.
excluded, or treated differently, just because it was so like
wild for everyone.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",1:37:23,True,,,Multi-view Chart
73,Multi-view Chart,"distribution range [min, max]","I see social support
in that year the maximum
kind of changes that I know that a lot of countries, including the Us. Like, implemented more of social like safety that that year.",distribution  (continuous),True,VARIABLE,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",1:37:47,True,,,Multi-view Chart
74,Multi-view Chart,relationship strength and/or direction,"I'm looking at the happiness score now. seeing what it looks like, the number of countries with the happiness score between 6 and 7 relatively increases.",relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:38:20,,,,Multi-view Chart
75,Multi-view Chart,relationship strength and/or direction,but generosity decreases positive effect kind of increases.,relationship (continuous X continuous),True,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:38:30,,,,Multi-view Chart
76,python,data size,"Not a whole lot of okay, pretty small dataset",,False,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",23:06,,,,python
77,python,variable metadata,I got some categorical data.,,False,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",23:13,,,True,python
78,python,plan of action,Maybe we need to do some parsing out of this cabin may need to depending on the questions.,,False,ANALYSIS PROCESS,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",23:24,,,,python
79,data_dictionary,representation comment,"But yeah, anytime you've got a data dictionary available. It's probably the best place to start.",,False,ANALYSIS PROCESS,lkin27js09b,Space,Static,"data_dictionary, ",23:55,,,,data_dictionary
80,data_dictionary,variable metadata,"I'm looking at what are the different data types. Specifically, you know, what are the actual data types, as far as– Is it numerical, or float values, or binary, or string values and things like that. So you know how to how to process those once you read it into the data frame.",,False,DATASET,lkin27js09b,Space,Static,"data_dictionary, ",24:14,,,,data_dictionary
81,data_dictionary,plan of action,"if you're looking at an analysis, which of these are, quantitative values that you can use you know, different techniques to analyze versus which of these are, you know, nominal or categorical in nature, where you're going to have to assign some sort of values to to them, possibly, or or just track. ",,False,ANALYSIS PROCESS,lkin27js09b,Space,Static,"data_dictionary, ",24:45,,,,data_dictionary
82,data_dictionary,variable metadata,"Obviously, the passenger. Id is going to be important  because it's going to be our our key",,False,DATASET,lkin27js09b,Space,Static,"data_dictionary, ",25:45,,,,data_dictionary
83,data_dictionary,plan of action,There's probably some opportunities to the find total money they've spent if that's important for some reason.,,False,ANALYSIS PROCESS,lkin27js09b,Space,Static,"data_dictionary, ",26:27,,,,data_dictionary
84,data_dictionary,data orientation,"So you almost have their demographic information and a couple of these columns, and then and then basically they're their LTV values– You know how much they've spent.",,False,DATASET,lkin27js09b,Space,Static,"data_dictionary, ",26:42,,,,data_dictionary
85,python,missing data,It's looks like we got some null values for some of these. ,,False,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",27:09,,,,python
86,python,representation comment,"It's kind of interesting, because some are none. some of the zeros, some are nulls. Not sure why that would be.",,False,ANALYSIS PROCESS,lkin27js09,Space,Static,"df_print2_lkin27js09bspace, ",27:12,,,,python
87,python,variable metadata,"So i'm just gonna take a look at the columns that are categorical in nature– or true, false– and group them together. And then we're going to figure out how many unique values we have. And then how many of each value we have. ",,False,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",29:33,,,True,python
88,python,"distribution shape [shape, skew, kurtosis]",So it looks like most people are single person in the cabin. That's that was a mistake.,,False,VARIABLE,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, ",32:28,,,,python
89,python,representation comment,"I probably sort this out to see if and probably throw that in a histogram, too, to see. Get an idea on the on the general ages of the passengers.",distribution  (continuous),False,ANALYSIS PROCESS,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, ",32:41,,,,python
90,python,"distribution shape [shape, skew, kurtosis]","You know most people going to one place, 3 destinations. Not sure how those are linked yet.",distribution (categorical),False,VARIABLE,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, ",33:03,,,,python
91,data_dictionary,relationship strength and/or direction,"Was the rescue conducted fairly? Well if it wasn't, as people thought it wasn't conducted fairly, with the variables that we have, I would  start my investigation by determining how much they spent, and I would make the assumption that the people who spent more probably got rescued.",relationship (categorical X continuous),False,RELATIONSHIP,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, data_dictionary, ",34:08,True,,,data_dictionary
92,data_dictionary,relationship existence / non-existence,There may be some correlation based off of age,relationship (categorical X continuous),False,RELATIONSHIP,lkin27js09b,Space,Static,"data_dictionary, ",34:25,,,,data_dictionary
93,data_dictionary,relationship existence / non-existence,there could be some some home planet or destination correlations,relationship (categorical X categorical),False,RELATIONSHIP,lkin27js09b,Space,Static,"data_dictionary, ",34:32,,,True,data_dictionary
94,python,"distribution shape [shape, skew, kurtosis]",So about half survived and half didn't.,distribution (categorical),False,VARIABLE,lkin27js09b,Space,Static,"surv_non_surv_split1_lkin27js09bspace, surv_print1_lkin27js09bspace, ",36:41,,,,python
95,python,plan of action,"Now, I just want to get an idea on how do these core categorical value stack up to kind of the the overall, and then see if there's anything that pops up that diverges.",,False,ANALYSIS PROCESS,lkin27js09b,Space,Static,"further_reduced_unique_val_check1_lkin27js09bspace, ",37:52,,,,python
96,python,"distribution shape [shape, skew, kurtosis]","like, for example  there's a a higher ratio of people going to this place (55 Cancer e 1054).",,False,VARIABLE,lkin27js09b,Space,Static,"surv_unique_val_count1_lkin27js09bspace, further_reduced_unique_val_check1, ",39:48,,,,python
97,python,relationship strength and/or direction," slightly higher survivors from home planet, Earth.",relationship (categorical X categorical),False,RELATIONSHIP,lkin27js09b,Space,Static,"surv_prop_unique_val_count3_lkin27js09bspace, prop_unique_val_count1_lkin27js09bspace, ",41:24,,,,python
98,python,relationship strength and/or direction,"A lot more [survived] that t weren't in cryosleep, so they probably just let them die. They're already in the rooms. They're you know they're probably less likely to get rescued if they're just, you know, stuck in the rooms",relationship (categorical X categorical),False,RELATIONSHIP,lkin27js09b,Space,Static,"surv_prop_unique_val_count3_lkin27js09bspace,prop_unique_val_count1_lkin27js09bspace, ",41:37,,,,python
99,python,relationship strength and/or direction,"Yeah, and the vip is not really a that look like that's really a factor",relationship (categorical X categorical),False,RELATIONSHIP,lkin27js09b,Space,Static,"surv_prop_unique_val_count3_lkin27js09bspace,prop_unique_val_count1_lkin27js09bspace, ",42:01,,,,python
100,none,plan of action,"Well, yeah. So i'd add, I would, I would add their total. the the total of these values room service, food court, shopping mall to see how much they spent to see if that was a factor",relationship (categorical X continuous),False,ANALYSIS PROCESS,lkin27js09b,Space,Static,,42:17,,,,none
101,data_dictionary,data provenance,We got overall score. probably some the method of scoring to get that based on these other attributes.,,False,DATASET,lkin27js09b,Happiness,Interactive,"data_dictionary, ",01:13:38,,,,data_dictionary
102,data_dictionary,data provenance,so we probably want to know which of these attributes most is attributable to this score,,False,DATASET,lkin27js09b,Happiness,Interactive,"data_dictionary, ",01:14:05,,,,data_dictionary
103,profile,relationship strength and/or direction,"First, I was curious to see. you know over time. Is there a change in you know the distribution of the scores so like are we happier in 2,022 than we are in 2004 overall.",relationship (continuous X continuous),True,RELATIONSHIP,lkin27js09b,Happiness,Interactive,"highlight_brush_profile_lkin27js09bhappiness, ",01:16:29,,,,profile
104,profile,relationship strength and/or direction,"If you take this brush and kind of look as you go across and take a look at the happiness score and some of these other ones. If there's one that increases more at a different rate. It's, you know it looks like it's generally the same. ",relationship (continuous X continuous),True,RELATIONSHIP,lkin27js09b,Happiness,Interactive,"highlight_brush_profile_lkin27js09bhappiness, ",01:16:51,,,,profile
