SID,Final_Group,Utterance Type,Utterance,Data Type,interaction_used,Highlevel,PID,Notebook,Condition,All representations,Timestamp,adj_timestamp,Dylan Flag Storytelling,Dylan Flag Correction,Dylan Flag Simultaneous Characterization,Vis_Was_Interactive,Timestamp,PNUM
10,describe,distribution outlier (variable),"So yeah, it seems like there's some very high values for some of these variables.",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Space,Static,"dataframe_describe_j2719eertu2space, ",22:56,0:22:56,,,,FALSE,22:56,P5
11,data_dictionary_describe,relationship existence / non-existence,"Oh, how much money the passenger used on a variety of things which i'm guessing is probably it might be correlated with VIP,",relationship (categorical X continuous),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"dataframe_describe_j2719eertu2space, data_dictionary, ",23:03,0:23:03,,,,FALSE,23:03,P5
12,dataframe_profile,data orientation,"Their name– which is probably like.
mostly irrelevant.",,FALSE,DATASET,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space, ",23:23,0:23:23,,,,FALSE,23:23,P5
13,profile,"distribution shape [shape, skew, kurtosis]",So about half the passengers survived.,,FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",23:25,0:23:25,,,,FALSE,23:25,P5
14,profile,distribution outlier (variable),"Yeah, I mean, it seems like there might be some outliers for some of these variables as far as like spending on various things.",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, ",23:46,0:23:46,,,,FALSE,23:46,P5
15,python,missing data,"And then there's also a decent amount of like missingmissing variables for different. It's like. but no more than 5 ish. 100 divided by 5,000. It's not 5. That's 2%. Yeah. So there's like 2% missing for each variable.",,FALSE,DATASET,j2719eertu2,Space,Static,"dataframe_nanPercentage_j2719eertu2space, ",23:50,0:23:50,,,,FALSE,23:50,P5
16,python,missing data,But none of them are missing the outcome. So that's good.,,FALSE,DATASET,j2719eertu2,Space,Static,"dataframe_nanPercentage_j2719eertu2space, ",23:59,0:23:59,,,,FALSE,23:59,P5
17,describe_profile,distribution outlier (variable),how many outliers are are there?,,FALSE,VARIABLE,j2719eertu2,Space,Static,"df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness, ",25:05:00,0:25:05,,,,FALSE,25:05:00,P5
18,double-profiler,relationship strength and/or direction,Now I'm looking between people who did and did not survive. I'm seeing these distributions [HomePlanet] look pretty similar.,relationship (categorical X categorical),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",28:56:00,0:28:56,,,,FALSE,28:56:00,P5
19,double-profiler,relationship strength and/or direction,It looks like more of the people who were in Cryo Sleep possibly did not survive.,relationship (categorical X categorical),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",29:30:00,0:29:30,,,,FALSE,29:30:00,P5
20,double-profiler,relationship strength and/or direction,The destination distribution looks pretty similar.,relationship (categorical X categorical),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",29:44:00,0:29:44,,,,FALSE,29:44:00,P5
21,double-profiler,relationship strength and/or direction,The age is pretty similar.,relationship (categorical X continuous),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",29:59:00,0:29:59,,,,FALSE,29:59:00,P5
22,double-profiler,representation comment,"the vip it's hard to say, because there's just so many that we're not vip so later it might kind of print out
the actual counts just to check that.",distribution (categorical),FALSE,ANALYSIS PROCESS,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",30:04:00,0:30:04,,,,FALSE,30:04:00,P5
23,double-profiler,"distribution shape [shape, skew, kurtosis]",Room service– kind of hard to say because there's so many that are 0.,,FALSE,VARIABLE,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",30:18:00,0:30:18,,,,FALSE,30:18:00,P5
24,double-profiler,variable metadata,so a lot of the variables that seem like they would be interesting between the 2 groups ... are categorical,,FALSE,DATASET,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",32:09:00,0:32:09,,,TRUE,FALSE,32:09:00,P5
25,pairplot,"distribution shape [shape, skew, kurtosis]","I may want to do a transformation on these. They they don't necessarily seem like correlated, but so many of them are so close to 0 that it's just like hard to tell. ",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Space,Static,"pairplot_uppercaseColumns_j2719eertu2space, ",35:10:00,0:35:10,,,TRUE,FALSE,35:10:00,P5
26,profile,plan of action,"""Okay that is awkward. So I guess I'm really just interested in the ones that are non-zero. o now I don't know if I'm necessarily getting anywhere with this. I'm going to go back to looking at those that did and did not survive""",,FALSE,ANALYSIS PROCESS,j2719eertu2,Space,Static,"altair_profile_contVars_j2719eertu2space, ",37:24:00,0:37:24,,,,FALSE,37:24:00,P5
27,heatmap,relationship strength and/or direction,"So I'm: kind of interested in survived and seeing if there's anything correlated with that of the continuous variables, and it kind of doesn't look like that. It doesn't look like there is.",,FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"correlation_heatmap_j2719eertu2space, ",39:26:00,0:39:26,,,TRUE,FALSE,39:26:00,P5
28,double-profiler,relationship strength and/or direction,seems like cryosleep and potentially home planet might be associated with with survival.,relationship (categorical X categorical),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"double_profile_survivors_nonSurvivors_j2719eertu2space, ",40:47:00,0:40:47,,,TRUE,FALSE,40:47:00,P5
29,barplot,relationship strength and/or direction,"So kind of ignoring the null ones, it seems like people that were in cryo sleep, have a much higher rate of survival than people that were not so.",relationship (categorical X categorical),FALSE,RELATIONSHIP,j2719eertu2,Space,Static,"survivors_cryosleep_countplot_correct_j2719eertu2space, ",42:35:00,0:42:35,,,,FALSE,42:35:00,P5
30,dataframe,data orientation,"So we have happiness scores, country, year. ",,FALSE,DATASET,j2719eertu2,Happiness,Interactive,"dataframe_head_j2719eertu2happiness, ",1:14:08,1:14:08,,,,FALSE,1:14:08,P5
31,profile,representation comment,"okay, this is a lot of information.",,TRUE,ANALYSIS PROCESS,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:14:49,1:14:49,,,,FALSE,1:14:49,P5
32,profile,"distribution shape [shape, skew, kurtosis]","So happiness score overall like over all the years, looks normally distributed.",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:14:50,1:14:50,,,,FALSE,1:14:50,P5
33,profile,"distribution shape [shape, skew, kurtosis]",These are all kinda skewed somewhat ,distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:14:59,1:14:59,,,TRUE,FALSE,1:14:59,P5
34,profile,"distribution shape [shape, skew, kurtosis]","except for well, you know i'll kind of see it somewhat sort of normal",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:15:08,1:15:08,,,,FALSE,1:15:08,P5
35,profile,relationship strength and/or direction,"I will start by looking at year and seeing if any of the just, like the filter distributions and blue appear to change compared with the general distribution they don't really.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:15:16,1:15:16,,,TRUE,TRUE,1:15:16,P5
36,none,data orientation,"So now let's look at happiness, for since that's kind of the thing that we're interested in.",,FALSE,DATASET,j2719eertu2,Happiness,Interactive,,1:15:38,1:15:38,,,,FALSE,1:15:38,P5
37,profile,relationship strength and/or direction,"i'll try to highlight like the top half of the happiness scores. So those just compared to like the overall distribution seem to have a higher log GDP per capita, higher social support, a higher life expectancy.",,TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:15:41,1:15:41,,,TRUE,TRUE,1:15:41,P5
38,profile,relationship strength and/or direction,"Maybe higher freedom. So most of so. Yeah, no, I would say higher freedom, because this one [points to one of the histogram bins] the highlighted section takes up less than half the more, and it takes up more than half, but it's still kind of a little bit skewed",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:16:11,1:16:11,,,,TRUE,1:16:11,P5
39,profile,relationship strength and/or direction,"Corruption. So it looks like the top half of the happiness scores tend to make up, like all of the low corruption points.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:15:27,1:15:27,,,,TRUE,1:15:27,P5
40,profile,relationship strength and/or direction,"The confidence in government almost seems exactly half and half so. I'm wondering if, like confidence in government does not
correlate with happiness score.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:16:39,1:16:39,,,,TRUE,1:16:39,P5
41,profile,relationship strength and/or direction,Same with negative affect a bit.,relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:16:52,1:16:52,,,,TRUE,1:16:52,P5
42,profile,missing data,the data quality seems pretty good. I'm going to see if there's missing values. ,,FALSE,DATASET,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:17:16,1:17:16,,,,TRUE,1:17:16,P5
43,profile,"distribution shape [shape, skew, kurtosis]","the output is normally distributed, so there's like a good range of examples for all happiness scores",distribution  (continuous),FALSE,VARIABLE,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness, ",1:17:29,1:17:29,,,,TRUE,1:17:29,P5
44,profile,data orientation,"which is good, because then we can get a really a good idea of which things are affecting it.",,TRUE,DATASET,j2719eertu2,Happiness,Interactive,"highlight_brush_with_profile_j2719eertu2happiness,, ",1:17:34,1:17:34,,,,TRUE,1:17:34,P5
45,describe,data size,"okay, so there's like 2,000 points.",,FALSE,DATASET,j2719eertu2,Happiness,Interactive,"dataframe_description_j2719eertu2happiness, ",1:18:03,1:18:03,,,,FALSE,1:18:03,P5
46,python,missing data,"There's a couple of missing scores for some of the points. some of the samples, but nothing like too bad.",,FALSE,DATASET,j2719eertu2,Happiness,Interactive,"missing_value_sum_j2719eertu2happiness, ",1:18:06,1:18:06,,,,FALSE,1:18:06,P5
47,describe,relationship existence / non-existence,"So now i'm interested in looking at the relationship of all these different columns with the happiness score, and also kind of investigating that over time.",relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"dataframe_description_j2719eertu2happiness, ",1:18:38,1:18:38,,,TRUE,FALSE,1:18:38,P5
48,heatmap,relationship strength and/or direction,It seems like Life Expectancy is associated with happiness score.,relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_heatmap_j2719eertu2happiness, ",1:19:47,1:19:47,,,,FALSE,1:19:47,P5
49,heatmap,relationship strength and/or direction,"Life Expectancy might not be associated with happiness score. It might be like a surrogate measure for happiness score, because it seems like a lot of these other things might impact life expectancy.",relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_heatmap_j2719eertu2happiness, ",1:19:58,1:19:58,,TRUE,,FALSE,1:19:58,P5
50,heatmap,relationship strength and/or direction,"Log GDP per capita also seems very positively correlated with happiness. So does social support, freedom, and positive affect. ",relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_heatmap_j2719eertu2happiness, ",1:20:16,1:20:16,,,TRUE,FALSE,1:20:16,P5
51,python,relationship strength and/or direction,"let's look at the one that is most positively correlated, which seems to be log Gdp per capita. So i'll start with that variable",relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"sorted_happinessScore_correlation_j2719eertu2happiness, ",1:20:49,1:20:49,,,,FALSE,1:20:49,P5
52,scatterplot,representation comment,I actually kind of would prefer to layer the visualizations. I liked having the highlight brush and the tool to cover together because I felt like I could get more information from one visualization.,,TRUE,ANALYSIS PROCESS,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness, ",1:21:46,1:21:46,,,,TRUE,1:21:46,P5
53,Multi-view Chart,relationship strength and/or direction,it definitely seems like there is a positive trend which we already confirm that the the correlation is 0.78,relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness, ",1:22:26,1:22:26,,,,TRUE,1:22:26,P5
54,scatterplot,outlier (relationship),"it kind of looks like they're
are some points that Don't necessarily follow that trend. So here's a company or a country country
with
a log Gdp per capita of 5.5,
and if it was to follow the rest of the trend. We might expect the happiness for it to be like
2 or 3
relatively low. But it's up here at 5, so that's Venezuela in 2019. ",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:22:39,1:22:39,,,,TRUE,1:22:39,P5
55,scatterplot,outlier (relationship),"So i'm wondering if like for this point. if there is another variable that explains the better, explains the relationship.","relationship (multivariate)
",TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:22:46,1:22:46,,,,TRUE,1:22:46,P5
56,scatterplot,outlier (relationship),"Oh, interesting. Okay. So all 3 of these are Venezuela, from 2,017 to 2,019.
So yeah, i'm wondering if there's like a different variable that better explains the happiness score rather than GDP","relationship (multivariate)
",TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:23:20,1:23:20,,,,TRUE,1:23:20,P5
57,scatterplot,outlier (relationship),"And then, similarly, there's a couple of other points over here that have a higher GDP per capital, where you might expect their happiness score to be somewhere between
6.5 and 3.5, but they're all the way down here
at 2.6 and 2.2,
and those are both 11 on between 2020 and 21 so just from this that gave me like a couple interesting potential points to figure out what was going on in Venezuela between those years and also what was going on in in Lebanon.","relationship (multivariate)
",TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:23:42,1:23:42,TRUE,,,TRUE,1:23:42,P5
58,scatterplot,relationship strength and/or direction,the rest of these countries seem to generally  follow the same trend.,relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:24:33,1:24:33,,,,TRUE,1:24:33,P5
59,scatterplot,relationship strength and/or direction,So those points that had an unusually like high happiness score based on Gdp have a pretty high social support.,"relationship (multivariate)
",TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, Yes, used Scatterplot, df.query, ",1:28:17,1:28:17,,,,TRUE,1:28:17,P5
60,scatterplot,relationship form (linearity/non-linearity),"So and then you also see that this is like pretty correlated, although it might not be linear. It kind of looks like it's a i'm not forgetting the name of the non-linear relationship.",relationship (categorical X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",1:28:35,1:28:35,,,,TRUE,1:28:35,P5
61,scatterplot,relationship strength and/or direction,So 2005 kind of looks like this relationship doesn't really change too much over time.,"relationship (multivariate)
",TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness, ",1:29:40,1:29:40,,,,TRUE,1:29:40,P5
62,dataframe_heatmap,relationship existence / non-existence,"So I'm looking at which variables are correlated with Year because I'm curious about like which variables actually changed over time. And then looking at whether or not over time, the relationship between that variable and like happiness score. ",relationship (continuous X continuous),FALSE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness, ",1:30:09,1:30:09,,,,FALSE,1:30:09,P5
63,scatterplot,relationship form (linearity/non-linearity),"So here freedom is like appears very linearly correlated with happiness score. And then as time goes on, that relationship it becomes less obvious particularly in the years like 2014.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness, ",1:30:52,1:30:52,,,,TRUE,1:30:52,P5
64,scatterplot,relationship strength and/or direction,"I'm guessing that if you made a a model of these 2 variables like depending on the year. You might get either get like no correlation or like a negative correlation. I know sometimes certain, like regression models will pick a path through the points that isn't necessarily what you expect.","relationship (multivariate)
",TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness, ",1:31:38,1:31:38,,,,TRUE,1:31:38,P5
65,Multi-view Chart,missing data,"Oh, wow, okay. So
there's a lot more happiness scores as the years go on, and I kind of can't see all of them on that.
I guess the 2,005 they didn't measure happiness score for all the countries
",,TRUE,DATASET,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:34:00,1:34:00,TRUE,,,TRUE,1:34:00,P5
66,Multi-view Chart,relationship cluster(s)/subgroup/ unexpected,"Well, the US was third in 2007, and then kind of drops.",relationship (categorical X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:34:20,1:34:20,,,,TRUE,1:34:20,P5
67,Multi-view Chart,relationship cluster(s)/subgroup/ unexpected,"Then Denmark, Finland, Sweden, Netherlands – so like the countries in that region of Europe – look like they are pretty consistently like among the top happiest countries.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:34:34,1:34:34,,,,TRUE,1:34:34,P5
68,Multi-view Chart,relationship strength and/or direction,"so 2,005, there's fewer countries is measuring their happiness for so it kind of looks like the
like mean happiness. Score is higher, but it might just be that
the countries with the lower happiness just weren't measured that year.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:35:29,1:35:29,,,,TRUE,1:35:29,P5
69,Multi-view Chart,relationship range constriction,"Other than that
it looks like that. like the I mean, like happiness. Score kind of stays between 5 and 6,",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:35:45,1:35:45,,,,TRUE,1:35:45,P5
70,Multi-view Chart,outlier (relationship),"except in 2,021, it increases that's which well. yeah, which is kind of interesting. 2021 was like. Maybe that's the rebound effect from 2020.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:35:45,1:35:45,TRUE,,,TRUE,1:35:45,P5
71,Multi-view Chart,relationship strength and/or direction,"So let me change the scatter plot to back to the log.
GDPpercapita
so that relationship stays pretty
constant.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",1:36:27,1:36:27,,,,TRUE,1:36:27,P5
72,Multi-view Chart,outlier (relationship),"I was curious, just because I know 2,020 was like a
very outlier year in terms of like a lot of things. I was wondering if I could see that. and reflected in
either like the happiness score or in any of the other variables. And if maybe that year would need to be like.
excluded, or treated differently, just because it was so like
wild for everyone.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",1:37:23,1:37:23,TRUE,,,TRUE,1:37:23,P5
73,Multi-view Chart,"distribution range [min, max]","I see social support
in that year the maximum
kind of changes that I know that a lot of countries, including the Us. Like, implemented more of social like safety that that year.",distribution  (continuous),TRUE,VARIABLE,j2719eertu2,Happiness,Interactive,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",1:37:47,1:37:47,TRUE,,,TRUE,1:37:47,P5
74,Multi-view Chart,relationship strength and/or direction,"I'm looking at the happiness score now. seeing what it looks like, the number of countries with the happiness score between 6 and 7 relatively increases.",relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:38:20,1:38:20,,,,TRUE,1:38:20,P5
75,Multi-view Chart,relationship strength and/or direction,but generosity decreases positive effect kind of increases.,relationship (continuous X continuous),TRUE,RELATIONSHIP,j2719eertu2,Happiness,Interactive,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",1:38:30,1:38:30,,,,TRUE,1:38:30,P5
76,python,data size,"Not a whole lot of okay, pretty small dataset",,FALSE,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",23:06,0:23:06,,,,FALSE,23:06,P7
77,python,variable metadata,I got some categorical data.,,FALSE,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",23:13,0:23:13,,,TRUE,FALSE,23:13,P7
78,python,plan of action,Maybe we need to do some parsing out of this cabin may need to depending on the questions.,,FALSE,ANALYSIS PROCESS,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",23:24,0:23:24,,,,FALSE,23:24,P7
79,data_dictionary,representation comment,"But yeah, anytime you've got a data dictionary available. It's probably the best place to start.",,FALSE,ANALYSIS PROCESS,lkin27js09b,Space,Static,"data_dictionary, ",23:55,0:23:55,,,,FALSE,23:55,P7
80,data_dictionary,variable metadata,"I'm looking at what are the different data types. Specifically, you know, what are the actual data types, as far as– Is it numerical, or float values, or binary, or string values and things like that. So you know how to how to process those once you read it into the data frame.",,FALSE,DATASET,lkin27js09b,Space,Static,"data_dictionary, ",24:14:00,0:24:14,,,,FALSE,24:14:00,P7
81,data_dictionary,plan of action,"if you're looking at an analysis, which of these are, quantitative values that you can use you know, different techniques to analyze versus which of these are, you know, nominal or categorical in nature, where you're going to have to assign some sort of values to to them, possibly, or or just track. ",,FALSE,ANALYSIS PROCESS,lkin27js09b,Space,Static,"data_dictionary, ",24:45:00,0:24:45,,,,FALSE,24:45:00,P7
82,data_dictionary,variable metadata,"Obviously, the passenger. Id is going to be important  because it's going to be our our key",,FALSE,DATASET,lkin27js09b,Space,Static,"data_dictionary, ",25:45:00,0:25:45,,,,FALSE,25:45:00,P7
83,data_dictionary,plan of action,There's probably some opportunities to the find total money they've spent if that's important for some reason.,,FALSE,ANALYSIS PROCESS,lkin27js09b,Space,Static,"data_dictionary, ",26:27:00,0:26:27,,,,FALSE,26:27:00,P7
84,data_dictionary,data orientation,"So you almost have their demographic information and a couple of these columns, and then and then basically they're their LTV values– You know how much they've spent.",,FALSE,DATASET,lkin27js09b,Space,Static,"data_dictionary, ",26:42:00,0:26:42,,,,FALSE,26:42:00,P7
85,python,missing data,It's looks like we got some null values for some of these. ,,FALSE,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",27:09:00,0:27:09,,,,FALSE,27:09:00,P7
86,python,representation comment,"It's kind of interesting, because some are none. some of the zeros, some are nulls. Not sure why that would be.",,FALSE,ANALYSIS PROCESS,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",27:12:00,0:27:12,,,,FALSE,27:12:00,P7
87,python,variable metadata,"So i'm just gonna take a look at the columns that are categorical in nature– or true, false– and group them together. And then we're going to figure out how many unique values we have. And then how many of each value we have. ",,FALSE,DATASET,lkin27js09b,Space,Static,"df_print2_lkin27js09bspace, ",29:33:00,0:29:33,,,TRUE,FALSE,29:33:00,P7
88,python,"distribution shape [shape, skew, kurtosis]",So it looks like most people are single person in the cabin. That's that was a mistake.,,FALSE,VARIABLE,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, ",32:28:00,0:32:28,,,,FALSE,32:28:00,P7
89,python,representation comment,"I probably sort this out to see if and probably throw that in a histogram, too, to see. Get an idea on the on the general ages of the passengers.",distribution  (continuous),FALSE,ANALYSIS PROCESS,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, ",32:41:00,0:32:41,,,,FALSE,32:41:00,P7
90,python,"distribution shape [shape, skew, kurtosis]","You know most people going to one place, 3 destinations. Not sure how those are linked yet.",distribution (categorical),FALSE,VARIABLE,lkin27js09b,Space,Static,"unique_val_count3_lkin27js09bspace, ",33:03:00,0:33:03,,,,FALSE,33:03:00,P7
