,All representations,,,,Condition,,Data Type,Didn't use interaction,,,,,,,Insight Description,Justification,,,Notebook,,,,,PID,,Python Used,,,,,,Timestamp,,,Utterance,Was Interaction Used,Was Recapped,Was Vis used,group,interaction_used,,,Data Type,UtteranceType,highlevel,Was Interaction Used_content,Was Vis used_content,Python Used_content,Other representation_content,joined,output_types,combined_content
10,"dataframe_describe_j2719eertu2space,",,,,Static,,distribution  (continuous),,,,,,,,Some of the columns have a high value,Maked as continuous as the outliers were in continuous coulms.,,,Space,,,,,j2719eertu2,,dataframe_describe_j2719eertu2space,,,,,,22:56,,,"So yeah, it seems like there's some very high values for some of these variables.",,,,describe,FALSE,,,distribution  (continuous),distribution outlier (variable),VARIABLE,,,df.describe(),,dataframe_describe_j2719eertu2space,describe,  df.describe() 
11,"dataframe_describe_j2719eertu2space, data_dictionary,",,,,Static,,relationship (categorical X continuous),,,,,,,,,,,,Space,,,,,j2719eertu2,,dataframe_describe_j2719eertu2space,,,,,,23:03,,,"Oh, how much money the passenger used on a variety of things which i'm guessing is probably it might be correlated with VIP,",,,,data_dictionary_describe,FALSE,,,relationship (categorical X continuous),relationship existence / non-existence,RELATIONSHIP,,,df.describe(),data_dictionary,"dataframe_describe_j2719eertu2space, data_dictionary","describe, data_dictionary",  df.describe() data_dictionary
12,"df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space,",,,,Static,,,,,,,,,,"Note, went back and fourth between head and profiler (checking an overview in the profiler and then verifying that the actual data itself matches). ",,,,Space,,,,,j2719eertu2,,titanicDataFrame_head2_j2719eertu2space,,,,,,23:23,,,"Their name– which is probably like.
mostly irrelevant.",,,df_column_profile_j2719eertu2space,dataframe_profile,FALSE,,,,data orientation,DATASET,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",df.head(),,"df_column_profile_j2719eertu2space, titanicDataFrame_head2_j2719eertu2space","visualization, dataframe"," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns) df.head() "
13,"df_column_profile_j2719eertu2space,",,,,Static,,,,,,,,,,,,,,Space,,,,,j2719eertu2,,,,,,,,23:25,,,So about half the passengers survived.,,,df_column_profile_j2719eertu2space,profile,FALSE,,,,"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
14,"df_column_profile_j2719eertu2space,",,,,Static,,distribution  (continuous),,,,,,,,Some outliers may exist for spending columns ,,,,Space,,,,,j2719eertu2,,,,,,,,23:46,,,"Yeah, I mean, it seems like there might be some outliers for some of these variables as far as like spending on various things.",,,df_column_profile_j2719eertu2space,profile,FALSE,,,distribution  (continuous),distribution outlier (variable),VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",,,df_column_profile_j2719eertu2space,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)  "
15,"dataframe_nanPercentage_j2719eertu2space,",,,,Static,,,,,,,,,,There's also a decent amount of missing values (2%),,,,Space,,,,,j2719eertu2,,dataframe_nanPercentage_j2719eertu2space,,,,,,23:50,,,"And then there's also a decent amount of like missingmissing variables for different. It's like. but no more than 5 ish. 100 divided by 5,000. It's not 5. That's 2%. Yeah. So there's like 2% missing for each variable.",,,,none,FALSE,,,,missing data,DATASET,,,df.isna().sum(axis = 0)/5000,,dataframe_nanPercentage_j2719eertu2space,other,df.isna().sum(axis = 0)/5000
16,,,,,,,,,,,,,,,,Said that just mentioning predict/outcome doesn't qualify as data orientation,,,,,,,,,,,,,,,,,,,But none of them are missing the outcome. So that's good.,,,,none,FALSE,,,,missing data,DATASET,,,,,,,   
17,"df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness,",,,,Static,,,,,,,,,,Spending histograms seem to be skewed due to outliers,,,,Space,,,,,j2719eertu2,,dataframe_description_j2719eertu2happiness,,,,,,25:05,,,how many outliers are are there?,,,df_column_profile_j2719eertu2space,describe_profile,FALSE,,,,distribution outlier (variable),VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns)",df.describe(),,"df_column_profile_j2719eertu2space, dataframe_description_j2719eertu2happiness","visualization, describe"," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.profile(df,vars=columns) df.describe() "
18,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,relationship (categorical X categorical),,,,,,,,HomePlanet distributions between survived and not survived are similar. ,Seemed more to be just a 'non relationship' as distributions are similar,,,Space,,,,,j2719eertu2,,,,,,,,28:56,,,Now I'm looking between people who did and did not survive. I'm seeing these distributions [HomePlanet] look pretty similar.,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,relationship (categorical X categorical),relationship strength and/or direction,RELATIONSHIP,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
19,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,relationship (categorical X categorical),,,,,,,,Most people in who survived didn't use cryosleep,,,,Space,,,,,j2719eertu2,,,,,,,,29:30,,,It looks like more of the people who were in Cryo Sleep possibly did not survive.,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,relationship (categorical X categorical),relationship strength and/or direction,RELATIONSHIP,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
20,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,relationship (categorical X categorical),,,,,,,,,,,,Space,,,,,j2719eertu2,,,,,,,,29:44,,,The destination distribution looks pretty similar.,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,relationship (categorical X categorical),relationship strength and/or direction,RELATIONSHIP,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
21,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,relationship (categorical X continuous),,,,,,,,Age is similar between survived and not.,,,,Space,,,,,j2719eertu2,,,,,,,,29:59,,,The age is pretty similar.,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,relationship (categorical X continuous),relationship strength and/or direction,RELATIONSHIP,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
22,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,distribution (categorical),,,,,,,,VIP distributions between survived and not are difficult to determine,,,,Space,,,,,j2719eertu2,,,,,,,,30:04,,,"the vip it's hard to say, because there's just so many that we're not vip so later it might kind of print out
the actual counts just to check that.",,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,distribution (categorical),representation comment,ANALYSIS PROCESS,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
23,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,,,,,,,,,Room service was skewed ,,,,Space,,,,,j2719eertu2,,,,,,,,30:18,,,Room service– kind of hard to say because there's so many that are 0.,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,,"distribution shape [shape, skew, kurtosis]",VARIABLE,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
24,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,,,,,,,,,,,,,Space,,,,,j2719eertu2,,,,,,,,32:09,,,so a lot of the variables that seem like they would be interesting between the 2 groups ... are categorical,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,,variable metadata,DATASET,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
25,"pairplot_uppercaseColumns_j2719eertu2space,",,,,Static,,distribution  (continuous),,,,,,,,,,,,Space,,,,,j2719eertu2,,,,,,,,35:10,,,"I may want to do a transformation on these. They they don't necessarily seem like correlated, but so many of them are so close to 0 that it's just like hard to tell.",,,pairplot_uppercaseColumns_j2719eertu2space,pairplot,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"alx.pairplot(df[['RoomService', 'FoodCourt', 'ShoppingMall', 'Spa', 'VRDeck']])",,,pairplot_uppercaseColumns_j2719eertu2space,visualization," alx.pairplot(df[['RoomService', 'FoodCourt', 'ShoppingMall', 'Spa', 'VRDeck']])  "
26,"altair_profile_contVars_j2719eertu2space,",,,,Static,,,,,,,,,,Note: accidently visualized the variables that didn't get transformed. ,,,,Space,,,,,j2719eertu2,,,,,,,,37:24,,,"""Okay that is awkward. So I guess I'm really just interested in the ones that are non-zero. o now I don't know if I'm necessarily getting anywhere with this. I'm going to go back to looking at those that did and did not survive""",,,altair_profile_contVars_j2719eertu2space,profile,FALSE,,,,plan of action,ANALYSIS PROCESS,,"alx.profile(df ,vars=cont_vars)",,,altair_profile_contVars_j2719eertu2space,visualization," alx.profile(df ,vars=cont_vars)  "
27,"correlation_heatmap_j2719eertu2space,",,,,Static,,,,,,,,,,,"Coded just as strength and direction as corr matrix shows the correlation value itself, so doesn't look like there is implies there were no values with a corr value largely different than 0 (or standout)",,,Space,,,,,j2719eertu2,,,,,,,,39:26,,,"So I'm: kind of interested in survived and seeing if there's anything correlated with that of the continuous variables, and it kind of doesn't look like that. It doesn't look like there is.",,,correlation_heatmap_j2719eertu2space,heatmap,FALSE,,,,relationship strength and/or direction,RELATIONSHIP,,"correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)",,,correlation_heatmap_j2719eertu2space,visualization," correlation_matrix = df.corr()
 alx.heatmap(correlation_matrix)  "
28,"double_profile_survivors_nonSurvivors_j2719eertu2space,",,,,Static,,relationship (categorical X categorical),,,,,,,,,,,,Space,,,,,j2719eertu2,,,,,,,,40:47,,,seems like cryosleep and potentially home planet might be associated with with survival.,,,double_profile_survivors_nonSurvivors_j2719eertu2space,double-profiler,FALSE,,,relationship (categorical X categorical),relationship strength and/or direction,RELATIONSHIP,,"alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)",,,double_profile_survivors_nonSurvivors_j2719eertu2space,visualization," alx.profile(df.loc[df['survived'] == True],vars=columns) & alx.profile(df.loc[df['survived'] == False],vars=columns)  "
29,"survivors_cryosleep_countplot_correct_j2719eertu2space,",,,,Static,,relationship (categorical X categorical),,,,,,,,Incorrect inference. ,,,,Space,,,,,j2719eertu2,,,,,,,,42:35,,,"So kind of ignoring the null ones, it seems like people that were in cryo sleep, have a much higher rate of survival than people that were not so.",,,survivors_cryosleep_countplot_correct_j2719eertu2space,barplot,FALSE,,,relationship (categorical X categorical),relationship strength and/or direction,RELATIONSHIP,,"survive_df = df[df['survived']]
 

 

 alx.countplot(df,x='CryoSleep') + alx.countplot(df[~df['survived']],x='CryoSleep').mark_bar(color='orange')",,,survivors_cryosleep_countplot_correct_j2719eertu2space,visualization," survive_df = df[df['survived']]
 

 

 alx.countplot(df,x='CryoSleep') + alx.countplot(df[~df['survived']],x='CryoSleep').mark_bar(color='orange')  "
30,"dataframe_head_j2719eertu2happiness,",,,,Interactive,,,,,,,,,,,,,,Happiness,,,,,j2719eertu2,,dataframe_head_j2719eertu2happiness,,,,,,1:14:08,,,"So we have happiness scores, country, year. ",,,,dataframe,FALSE,,,,data orientation,DATASET,,,df.head(),,dataframe_head_j2719eertu2happiness,dataframe,  df.head() 
31,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,,,,,,,,,Looking at a profiler visualization for a number of columns quickly became overwhelming,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:14:49,,,"okay, this is a lot of information.",,,highlight_brush_with_profile_j2719eertu2happiness,profile,TRUE,,,,representation comment,ANALYSIS PROCESS,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
32,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,distribution  (continuous),No interaction ,,,,,,,,"Coded as distribution rather than relationship as all the year was referring to not filtering data, but just displaying all of it",,,Happiness,,,,,j2719eertu2,,,,,,,,1:14:50,,,"So happiness score overall like over all the years, looks normally distributed.",,,highlight_brush_with_profile_j2719eertu2happiness,profile,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
33,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,distribution  (continuous),No interaction ,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:14:59,,,These are all kinda skewed somewhat ,,,highlight_brush_with_profile_j2719eertu2happiness,profile,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
34,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,distribution  (continuous),No interaction ,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:15:08,,,"except for well, you know i'll kind of see it somewhat sort of normal",,,highlight_brush_with_profile_j2719eertu2happiness,profile,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,highlight_brush_with_profile_j2719eertu2happiness,visualization," columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)  "
35,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,relationship (continuous X continuous),,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,01:15:16,,,"I will start by looking at year and seeing if any of the just, like the filter distributions and blue appear to change compared with the general distribution they don't really.",highlight_brush_with_profile_j2719eertu2happiness,,,profile,TRUE,,,relationship (continuous X continuous),relationship strength and/or direction,RELATIONSHIP,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
36,,,,,,,,,,,,,,,,Orientation as outcome is identified,,,,,,,,,,,,,,,,1:15:38,,,"So now let's look at happiness, for since that's kind of the thing that we're interested in.",,,,none,FALSE,,,,data orientation,DATASET,,,,,,,   
37,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,,,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:15:41,,,"i'll try to highlight like the top half of the happiness scores. So those just compared to like the overall distribution seem to have a higher log GDP per capita, higher social support, a higher life expectancy.",highlight_brush_with_profile_j2719eertu2happiness,,,profile,TRUE,,,,relationship strength and/or direction,RELATIONSHIP,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
38,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,relationship (continuous X continuous),,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:16:11,,,"Maybe higher freedom. So most of so. Yeah, no, I would say higher freedom, because this one [points to one of the histogram bins] the highlighted section takes up less than half the more, and it takes up more than half, but it's still kind of a little bit skewed",highlight_brush_with_profile_j2719eertu2happiness,,,profile,TRUE,,,relationship (continuous X continuous),relationship strength and/or direction,RELATIONSHIP,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
39,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,relationship (continuous X continuous),,,,,,,,,Not tagged as categorical here because it's hard to know what they view as cat vs continuous. ,,,Happiness,,,,,j2719eertu2,,,,,,,,1:15:27,,,"Corruption. So it looks like the top half of the happiness scores tend to make up, like all of the low corruption points.",highlight_brush_with_profile_j2719eertu2happiness,,,profile,TRUE,,,relationship (continuous X continuous),relationship strength and/or direction,RELATIONSHIP,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
40,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,relationship (continuous X continuous),,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:16:39,,,"The confidence in government almost seems exactly half and half so. I'm wondering if, like confidence in government does not
correlate with happiness score.",highlight_brush_with_profile_j2719eertu2happiness,,,profile,TRUE,,,relationship (continuous X continuous),relationship strength and/or direction,RELATIONSHIP,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
41,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,relationship (continuous X continuous),,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,1:16:52,,,Same with negative affect a bit.,highlight_brush_with_profile_j2719eertu2happiness,,,profile,TRUE,,,relationship (continuous X continuous),relationship strength and/or direction,RELATIONSHIP,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
42,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,,No interaction,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,01:17:16,,,the data quality seems pretty good. I'm going to see if there's missing values. ,highlight_brush_with_profile_j2719eertu2happiness,,,profile,FALSE,,,,missing data,DATASET,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
43,"highlight_brush_with_profile_j2719eertu2happiness,",,,,Interactive,,distribution  (continuous),No interaction,,,,,,,,,,,Happiness,,,,,j2719eertu2,,,,,,,,01:17:29,,,"the output is normally distributed, so there's like a good range of examples for all happiness scores",highlight_brush_with_profile_j2719eertu2happiness,,,profile,FALSE,,,distribution  (continuous),"distribution shape [shape, skew, kurtosis]",VARIABLE,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,highlight_brush_with_profile_j2719eertu2happiness,visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:17:34,,,"which is good, because then we can get a really a good idea of which things are affecting it.","highlight_brush_with_profile_j2719eertu2happiness,",,,profile,TRUE,,,,data orientation,DATASET,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)",,,,"highlight_brush_with_profile_j2719eertu2happiness,",visualization,"columns = df.columns # returns list of column names [""year"",""country""...]
 alx.highlight_brush() + alx.profile(df,vars=columns)   "
45,"dataframe_description_j2719eertu2happiness,",,,,Interactive,,,,,,,,,,,,,,Happiness,,,,,j2719eertu2,,dataframe_description_j2719eertu2happiness,,,,,,1:18:03,,,"okay, so there's like 2,000 points.",,,,describe,FALSE,,,,data size,DATASET,,,df.describe(),,dataframe_description_j2719eertu2happiness,describe,  df.describe() 
46,"missing_value_sum_j2719eertu2happiness,",,,,Interactive,,,,,,,,,,,,,,Happiness,,,,,j2719eertu2,,missing_value_sum_j2719eertu2happiness,,,,,,1:18:06,,,"There's a couple of missing scores for some of the points. some of the samples, but nothing like too bad.",,,,none,FALSE,,,,missing data,DATASET,,,df.isna().sum(axis = 0),,missing_value_sum_j2719eertu2happiness,other,df.isna().sum(axis = 0)
