SID,PID,PNUM,Condition,Notebook,Timestamp,interaction_used,Data Type,Highlevel,Utterance Type,Final_Group,group,All representations,Flag Storytelling,Flag Correction,Flag Simultaneous Characterization,Utterance
33,j2719eertu2,P5,Interactive,Happiness,1:14:59,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,TRUE,These are all kinda skewed somewhat 
34,j2719eertu2,P5,Interactive,Happiness,1:15:08,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"except for well, you know i'll kind of see it somewhat sort of normal"
35,j2719eertu2,P5,Interactive,Happiness,1:15:16,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,TRUE,"I will start by looking at year and seeing if any of the just, like the filter distributions and blue appear to change compared with the general distribution they don't really."
36,j2719eertu2,P5,Interactive,Happiness,1:15:38,FALSE,,DATASET,data orientation,none,none,,,,,"So now let's look at happiness, for since that's kind of the thing that we're interested in."
37,j2719eertu2,P5,Interactive,Happiness,1:15:41,TRUE,,RELATIONSHIP,relationship strength and/or direction,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,TRUE,"i'll try to highlight like the top half of the happiness scores. So those just compared to like the overall distribution seem to have a higher log GDP per capita, higher social support, a higher life expectancy."
38,j2719eertu2,P5,Interactive,Happiness,1:16:11,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"Maybe higher freedom. So most of so. Yeah, no, I would say higher freedom, because this one [points to one of the histogram bins] the highlighted section takes up less than half the more, and it takes up more than half, but it's still kind of a little bit skewed"
39,j2719eertu2,P5,Interactive,Happiness,1:15:27,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"Corruption. So it looks like the top half of the happiness scores tend to make up, like all of the low corruption points."
40,j2719eertu2,P5,Interactive,Happiness,1:16:39,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"The confidence in government almost seems exactly half and half so. I'm wondering if, like confidence in government does not
correlate with happiness score."
41,j2719eertu2,P5,Interactive,Happiness,1:16:52,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,Same with negative affect a bit.
42,j2719eertu2,P5,Interactive,Happiness,1:17:16,FALSE,,DATASET,missing data,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,the data quality seems pretty good. I'm going to see if there's missing values. 
43,j2719eertu2,P5,Interactive,Happiness,1:17:29,FALSE,distribution  (continuous),VARIABLE,"distribution shape [shape, skew, kurtosis]",profile,profile,"highlight_brush_with_profile_j2719eertu2happiness, ",,,,"the output is normally distributed, so there's like a good range of examples for all happiness scores"
44,j2719eertu2,P5,Interactive,Happiness,1:17:34,TRUE,,DATASET,data orientation,profile,profile,"highlight_brush_with_profile_j2719eertu2happiness,, ",,,,"which is good, because then we can get a really a good idea of which things are affecting it."
45,j2719eertu2,P5,Interactive,Happiness,1:18:03,FALSE,,DATASET,data size,describe,describe,"dataframe_description_j2719eertu2happiness, ",,,,"okay, so there's like 2,000 points."
46,j2719eertu2,P5,Interactive,Happiness,1:18:06,FALSE,,DATASET,missing data,python,python,"missing_value_sum_j2719eertu2happiness, ",,,,"There's a couple of missing scores for some of the points. some of the samples, but nothing like too bad."
47,j2719eertu2,P5,Interactive,Happiness,1:18:38,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship existence / non-existence,describe,describe,"dataframe_description_j2719eertu2happiness, ",,,TRUE,"So now i'm interested in looking at the relationship of all these different columns with the happiness score, and also kind of investigating that over time."
48,j2719eertu2,P5,Interactive,Happiness,1:19:47,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,heatmap,heatmap,"correlation_heatmap_j2719eertu2happiness, ",,,,It seems like Life Expectancy is associated with happiness score.
49,j2719eertu2,P5,Interactive,Happiness,1:19:58,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,heatmap,heatmap,"correlation_heatmap_j2719eertu2happiness, ",,TRUE,,"Life Expectancy might not be associated with happiness score. It might be like a surrogate measure for happiness score, because it seems like a lot of these other things might impact life expectancy."
50,j2719eertu2,P5,Interactive,Happiness,1:20:16,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,heatmap,heatmap,"correlation_heatmap_j2719eertu2happiness, ",,,TRUE,"Log GDP per capita also seems very positively correlated with happiness. So does social support, freedom, and positive affect. "
51,j2719eertu2,P5,Interactive,Happiness,1:20:49,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,python,python,"sorted_happinessScore_correlation_j2719eertu2happiness, ",,,,"let's look at the one that is most positively correlated, which seems to be log Gdp per capita. So i'll start with that variable"
52,j2719eertu2,P5,Interactive,Happiness,1:21:46,TRUE,,ANALYSIS PROCESS,representation comment,scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_with_width_j2719eertu2happiness, ",,,,I actually kind of would prefer to layer the visualizations. I liked having the highlight brush and the tool to cover together because I felt like I could get more information from one visualization.
53,j2719eertu2,P5,Interactive,Happiness,1:22:26,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,Multi-view Chart,Multi-view Chart,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness, ",,,,it definitely seems like there is a positive trend which we already confirm that the the correlation is 0.78
54,j2719eertu2,P5,Interactive,Happiness,1:22:39,TRUE,relationship (continuous X continuous),RELATIONSHIP,outlier (relationship),scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",,,,"it kind of looks like they're
are some points that Don't necessarily follow that trend. So here's a company or a country country
with
a log Gdp per capita of 5.5,
and if it was to follow the rest of the trend. We might expect the happiness for it to be like
2 or 3
relatively low. But it's up here at 5, so that's Venezuela in 2019. "
55,j2719eertu2,P5,Interactive,Happiness,1:22:46,TRUE,"relationship (multivariate)
",RELATIONSHIP,outlier (relationship),scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",,,,"So i'm wondering if like for this point. if there is another variable that explains the better, explains the relationship."
56,j2719eertu2,P5,Interactive,Happiness,1:23:20,TRUE,"relationship (multivariate)
",RELATIONSHIP,outlier (relationship),scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",,,,"Oh, interesting. Okay. So all 3 of these are Venezuela, from 2,017 to 2,019.
So yeah, i'm wondering if there's like a different variable that better explains the happiness score rather than GDP"
57,j2719eertu2,P5,Interactive,Happiness,1:23:42,TRUE,"relationship (multivariate)
",RELATIONSHIP,outlier (relationship),scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",TRUE,,,"And then, similarly, there's a couple of other points over here that have a higher GDP per capital, where you might expect their happiness score to be somewhere between
6.5 and 3.5, but they're all the way down here
at 2.6 and 2.2,
and those are both 11 on between 2020 and 21 so just from this that gave me like a couple interesting potential points to figure out what was going on in Venezuela between those years and also what was going on in in Lebanon."
58,j2719eertu2,P5,Interactive,Happiness,1:24:33,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",,,,the rest of these countries seem to generally  follow the same trend.
59,j2719eertu2,P5,Interactive,Happiness,1:28:17,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, Yes, used Scatterplot, df.query, ",,,,So those points that had an unusually like high happiness score based on Gdp have a pretty high social support.
60,j2719eertu2,P5,Interactive,Happiness,1:28:35,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship form (linearity/non-linearity),scatterplot,scatterplot,"logGDP_happiness_hover_scatterplot_square_j2719eertu2happiness, ",,,,"So and then you also see that this is like pretty correlated, although it might not be linear. It kind of looks like it's a i'm not forgetting the name of the non-linear relationship."
61,j2719eertu2,P5,Interactive,Happiness,1:29:40,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"yearFilter_logGDP_happiness_hover_brush_scatterplot_smaller_j2719eertu2happiness, ",,,,So 2005 kind of looks like this relationship doesn't really change too much over time.
62,j2719eertu2,P5,Interactive,Happiness,1:30:09,FALSE,relationship (continuous X continuous),RELATIONSHIP,relationship existence / non-existence,dataframe_heatmap,dataframe_heatmap,"correlation_matrix_j2719eertu2happiness, correlation_heatmap_j2719eertu2happiness, ",,,,"So I'm looking at which variables are correlated with Year because I'm curious about like which variables actually changed over time. And then looking at whether or not over time, the relationship between that variable and like happiness score. "
63,j2719eertu2,P5,Interactive,Happiness,1:30:52,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship form (linearity/non-linearity),scatterplot,scatterplot,"yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness, ",,,,"So here freedom is like appears very linearly correlated with happiness score. And then as time goes on, that relationship it becomes less obvious particularly in the years like 2014."
64,j2719eertu2,P5,Interactive,Happiness,1:31:38,TRUE,"relationship (multivariate)
",RELATIONSHIP,relationship strength and/or direction,scatterplot,scatterplot,"yearFilter_freedom_happiness_hover_brush_scatterplot_j2719eertu2happiness, ",,,,"I'm guessing that if you made a a model of these 2 variables like depending on the year. You might get either get like no correlation or like a negative correlation. I know sometimes certain, like regression models will pick a path through the points that isn't necessarily what you expect."
65,j2719eertu2,P5,Interactive,Happiness,1:34:00,TRUE,,DATASET,missing data,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",TRUE,,,"Oh, wow, okay. So
there's a lot more happiness scores as the years go on, and I kind of can't see all of them on that.
I guess the 2,005 they didn't measure happiness score for all the countries
"
66,j2719eertu2,P5,Interactive,Happiness,1:34:20,TRUE,relationship (categorical X continuous),RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",,,,"Well, the US was third in 2007, and then kind of drops."
67,j2719eertu2,P5,Interactive,Happiness,1:34:34,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship cluster(s)/subgroup/ unexpected,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",,,,"Then Denmark, Finland, Sweden, Netherlands â--  so like the countries in that region of Europe â--  look like they are pretty consistently like among the top happiest countries."
68,j2719eertu2,P5,Interactive,Happiness,1:35:29,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",,,,"so 2,005, there's fewer countries is measuring their happiness for so it kind of looks like the
like mean happiness. Score is higher, but it might just be that
the countries with the lower happiness just weren't measured that year."
69,j2719eertu2,P5,Interactive,Happiness,1:35:45,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship range constriction,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",,,,"Other than that
it looks like that. like the I mean, like happiness. Score kind of stays between 5 and 6,"
70,j2719eertu2,P5,Interactive,Happiness,1:35:45,TRUE,relationship (continuous X continuous),RELATIONSHIP,outlier (relationship),Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",TRUE,,,"except in 2,021, it increases that's which well. yeah, which is kind of interesting. 2021 was like. Maybe that's the rebound effect from 2020."
71,j2719eertu2,P5,Interactive,Happiness,1:36:27,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,Multi-view Chart,Multi-view Chart,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",,,,"So let me change the scatter plot to back to the log.
GDPpercapita
so that relationship stays pretty
constant."
72,j2719eertu2,P5,Interactive,Happiness,1:37:23,TRUE,relationship (continuous X continuous),RELATIONSHIP,outlier (relationship),Multi-view Chart,Multi-view Chart,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",TRUE,,,"I was curious, just because I know 2,020 was like a
very outlier year in terms of like a lot of things. I was wondering if I could see that. and reflected in
either like the happiness score or in any of the other variables. And if maybe that year would need to be like.
excluded, or treated differently, just because it was so like
wild for everyone."
73,j2719eertu2,P5,Interactive,Happiness,1:37:47,TRUE,distribution  (continuous),VARIABLE,"distribution range [min, max]",Multi-view Chart,Multi-view Chart,"yearFilter_logGDP_happiness_profile_barplot_combo_j2719eertu2happiness, ",TRUE,,,"I see social support
in that year the maximum
kind of changes that I know that a lot of countries, including the Us. Like, implemented more of social like safety that that year."
74,j2719eertu2,P5,Interactive,Happiness,1:38:20,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",,,,"I'm looking at the happiness score now. seeing what it looks like, the number of countries with the happiness score between 6 and 7 relatively increases."
75,j2719eertu2,P5,Interactive,Happiness,1:38:30,TRUE,relationship (continuous X continuous),RELATIONSHIP,relationship strength and/or direction,Multi-view Chart,Multi-view Chart,"yearFilter_freedom_happiness_profile_barplot_combo_wider_j2719eertu2happiness, ",,,,but generosity decreases positive effect kind of increases.
76,lkin27js09b,P7,Static,Space,23:06,FALSE,,DATASET,data size,python,python,"df_print2_lkin27js09bspace, ",,,,"Not a whole lot of okay, pretty small dataset"
77,lkin27js09b,P7,Static,Space,23:13,FALSE,,DATASET,variable metadata,python,python,"df_print2_lkin27js09bspace, ",,,TRUE,I got some categorical data.
78,lkin27js09b,P7,Static,Space,23:24,FALSE,,ANALYSIS PROCESS,plan of action,python,python,"df_print2_lkin27js09bspace, ",,,,Maybe we need to do some parsing out of this cabin may need to depending on the questions.
79,lkin27js09b,P7,Static,Space,23:55,FALSE,,ANALYSIS PROCESS,representation comment,data_dictionary,data_dictionary,"data_dictionary, ",,,,"But yeah, anytime you've got a data dictionary available. It's probably the best place to start."
80,lkin27js09b,P7,Static,Space,24:14:00,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"I'm looking at what are the different data types. Specifically, you know, what are the actual data types, as far asâ--  Is it numerical, or float values, or binary, or string values and things like that. So you know how to how to process those once you read it into the data frame."
81,lkin27js09b,P7,Static,Space,24:45:00,FALSE,,ANALYSIS PROCESS,plan of action,data_dictionary,data_dictionary,"data_dictionary, ",,,,"if you're looking at an analysis, which of these are, quantitative values that you can use you know, different techniques to analyze versus which of these are, you know, nominal or categorical in nature, where you're going to have to assign some sort of values to to them, possibly, or or just track. "
82,lkin27js09b,P7,Static,Space,25:45:00,FALSE,,DATASET,variable metadata,data_dictionary,data_dictionary,"data_dictionary, ",,,,"Obviously, the passenger. Id is going to be important  because it's going to be our our key"
83,lkin27js09b,P7,Static,Space,26:27:00,FALSE,,ANALYSIS PROCESS,plan of action,data_dictionary,data_dictionary,"data_dictionary, ",,,,There's probably some opportunities to the find total money they've spent if that's important for some reason.
84,lkin27js09b,P7,Static,Space,26:42:00,FALSE,,DATASET,data orientation,data_dictionary,data_dictionary,"data_dictionary, ",,,,"So you almost have their demographic information and a couple of these columns, and then and then basically they're their LTV valuesâ--  You know how much they've spent."
85,lkin27js09b,P7,Static,Space,27:09:00,FALSE,,DATASET,missing data,python,python,"df_print2_lkin27js09bspace, ",,,,It's looks like we got some null values for some of these. 
86,lkin27js09b,P7,Static,Space,27:12:00,FALSE,,ANALYSIS PROCESS,representation comment,python,python,"df_print2_lkin27js09bspace, ",,,,"It's kind of interesting, because some are none. some of the zeros, some are nulls. Not sure why that would be."
87,lkin27js09b,P7,Static,Space,29:33:00,FALSE,,DATASET,variable metadata,python,python,"df_print2_lkin27js09bspace, ",,,TRUE,"So i'm just gonna take a look at the columns that are categorical in natureâ--  or true, falseâ--  and group them together. And then we're going to figure out how many unique values we have. And then how many of each value we have. "
88,lkin27js09b,P7,Static,Space,32:28:00,FALSE,,VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"unique_val_count3_lkin27js09bspace, ",,,,So it looks like most people are single person in the cabin. That's that was a mistake.
89,lkin27js09b,P7,Static,Space,32:41:00,FALSE,distribution  (continuous),ANALYSIS PROCESS,representation comment,python,python,"unique_val_count3_lkin27js09bspace, ",,,,"I probably sort this out to see if and probably throw that in a histogram, too, to see. Get an idea on the on the general ages of the passengers."
90,lkin27js09b,P7,Static,Space,33:03:00,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"unique_val_count3_lkin27js09bspace, ",,,,"You know most people going to one place, 3 destinations. Not sure how those are linked yet."
91,lkin27js09b,P7,Static,Space,34:08:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship strength and/or direction,data_dictionary,data_dictionary,"unique_val_count3_lkin27js09bspace, data_dictionary, ",TRUE,,,"Was the rescue conducted fairly? Well if it wasn't, as people thought it wasn't conducted fairly, with the variables that we have, I would  start my investigation by determining how much they spent, and I would make the assumption that the people who spent more probably got rescued."
92,lkin27js09b,P7,Static,Space,34:25:00,FALSE,relationship (categorical X continuous),RELATIONSHIP,relationship existence / non-existence,data_dictionary,data_dictionary,"data_dictionary, ",,,,There may be some correlation based off of age
93,lkin27js09b,P7,Static,Space,34:32:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship existence / non-existence,data_dictionary,data_dictionary,"data_dictionary, ",,,TRUE,there could be some some home planet or destination correlations
94,lkin27js09b,P7,Static,Space,36:41:00,FALSE,distribution (categorical),VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"surv_non_surv_split1_lkin27js09bspace, surv_print1_lkin27js09bspace, ",,,,So about half survived and half didn't.
95,lkin27js09b,P7,Static,Space,37:52:00,FALSE,,ANALYSIS PROCESS,plan of action,python,python,"further_reduced_unique_val_check1_lkin27js09bspace, ",,,,"Now, I just want to get an idea on how do these core categorical value stack up to kind of the the overall, and then see if there's anything that pops up that diverges."
96,lkin27js09b,P7,Static,Space,39:48:00,FALSE,,VARIABLE,"distribution shape [shape, skew, kurtosis]",python,python,"surv_unique_val_count1_lkin27js09bspace, further_reduced_unique_val_check1, ",,,,"like, for example  there's a a higher ratio of people going to this place (55 Cancer e 1054)."
97,lkin27js09b,P7,Static,Space,41:24:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,python,python,"surv_prop_unique_val_count3_lkin27js09bspace, prop_unique_val_count1_lkin27js09bspace, ",,,," slightly higher survivors from home planet, Earth."
98,lkin27js09b,P7,Static,Space,41:37:00,FALSE,relationship (categorical X categorical),RELATIONSHIP,relationship strength and/or direction,python,python,"surv_prop_unique_val_count3_lkin27js09bspace,prop_unique_val_count1_lkin27js09bspace, ",,,,"A lot more [survived] that t weren't in cryosleep, so they probably just let them die. They're already in the rooms. They're you know they're probably less likely to get rescued if they're just, you know, stuck in the rooms"
